ue,stage,C_TRX_UE,C_TRX_BS,C_TRX,C_Layer_no_power,C_Layer,C_ABM_hist,lambda_bs_beam,lambda_ue_beam,ue_beams,bs_pattern,bs_layer_pattern,bs_beams_abm
1066,Stage1,25.60,,,,,,,,4,,,
1066,Stage2,25.60,16.33,,,,,,,4,0,,
1066,PowerOpt,25.60,16.33,16.33,,,,"193.18,53.94,7.64,0.81,0.33,0.04",1.00,4,0,,
1066,Stage3,25.60,16.33,16.33,16.07,,,,,4,0,24,
1066,Stage3_PowerOpt,25.60,16.33,16.33,,16.07,,"48.37,13.42,1.91,0.20,0.08,0.01",1.00,4,0,24,
1066,Stage4,25.60,16.33,16.33,,16.07,8.16;10.49;11.22;11.75;12.17;12.52;12.81;13.07;13.26;13.41;13.52;13.63;13.73;13.84;13.95;14.07;14.17;14.25;14.32;14.38;14.44;14.51;14.58;14.65;14.72;14.78;14.83;14.87;14.92;14.96;15.01;15.07;15.12;15.17;15.20;15.24;15.27,,,4,0,24,"24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24"
1067,Stage1,26.37,,,,,,,,4,,,
1067,Stage2,26.37,16.46,,,,,,,4,0,,
1067,PowerOpt,26.37,16.46,16.46,,,,"171.00,65.20,16.47,1.80,1.07,0.30,0.09,0.03",1.00,4,0,,
1067,Stage3,26.37,16.46,16.46,16.27,,,,,4,0,24,
1067,Stage3_PowerOpt,26.37,16.46,16.46,,16.27,,"42.82,16.26,4.10,0.45,0.27,0.07,0.02",1.00,4,0,24,
1067,Stage4,26.37,16.46,16.46,,16.27,8.15;10.63;11.41;11.97;12.40;12.74;13.01;13.25;13.44;13.58;13.70;13.81;13.93;14.03;14.14;14.25;14.35;14.43;14.50;14.57;14.63;14.70;14.77;14.84;14.91;14.96;15.01;15.06;15.11;15.16;15.20;15.25;15.31;15.35;15.39;15.43;15.46,,,4,0,24,"24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24"
1068,Stage1,31.71,,,,,,,,"4,0,9",,,
1068,Stage2,31.71,25.90,,,,,,,"4,0,9",4,,
1068,PowerOpt,31.71,25.90,25.90,,,,"209.54,32.31,7.48,2.67,2.41,0.57,0.44,0.17,0.12,0.08,0.07,0.03,0.03,0.02","2.99,0.01,0.00","4,0,9",4,,
1068,Stage3,31.71,25.90,25.90,25.50,,,,,"4,0,9",4,"25,25,24",
1068,Stage3_PowerOpt,31.71,25.90,25.90,,25.50,,"52.41,8.16,1.84,0.65,0.59,0.14,0.11,0.03,0.02,0.02,0.02","2.99,0.00,0.00","4,0,9",4,"25,25,24",
1068,Stage4,31.71,25.90,25.90,,25.50,6.40;11.82;13.03;14.01;14.83;15.55;16.25;16.98;17.43;17.77;18.07;18.33;18.58;18.87;19.21;19.59;19.88;20.10;20.28;20.44;20.61;20.81;21.00;21.23;21.47;21.63;21.75;21.88;21.99;22.11;22.22;22.41;22.62;22.71;22.84;22.99;23.11;23.19;23.28;23.42;23.52;23.60;23.72;23.82;23.88;23.96;24.07;24.17;24.30,,,"4,0,9",4,"25,25,24","25,25,25,25,25,24,24,24,24,24,24,25,25,25,24,25,24,24,25,25,25,24,24,24,24,25,25,25,25,25,25,24,24,24,24,25,25,25,25,24,25,25,24,24,25,24,25,25,25"
1069,Stage1,30.28,,,,,,,,"4,0,12",,,
1069,Stage2,30.28,23.78,,,,,,,"4,0,12",0,,
1069,PowerOpt,30.28,23.78,23.78,,,,"164.80,67.48,10.85,5.91,2.81,2.22,0.95,0.55,0.11,0.10,0.07,0.06,0.02,0.02","2.99,0.01,0.00","4,0,12",0,,
1069,Stage3,30.28,23.78,23.78,23.64,,,,,"4,0,12",0,24,
1069,Stage3_PowerOpt,30.28,23.78,23.78,,23.64,,"41.16,16.83,2.72,1.52,0.72,0.57,0.24,0.14,0.03,0.02,0.02,0.01","2.99,0.01,0.00","4,0,12",0,24,
1069,Stage4,30.28,23.78,23.78,,23.64,6.61;11.96;13.27;14.36;15.31;16.11;16.76;17.32;17.74;18.03;18.27;18.49;18.71;18.93;19.16;19.41;19.65;19.81;19.95;20.08;20.22;20.34;20.49;20.64;20.79;20.90;21.00;21.09;21.17;21.26;21.36;21.47;21.58;21.67;21.75;21.83;21.85;21.96;22.04;22.12;22.21;22.29;22.36;22.42;22.46;22.54,,,"4,0,12",0,24,"24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24"
1087,Stage1,20.98,,,,,,,,0,,,
1087,Stage2,20.98,15.79,,,,,,,0,15,,
1087,PowerOpt,20.98,15.79,15.79,,,,"61.89,47.09,27.24,27.04,20.81,12.31,7.12,6.69,5.14,4.99,4.00,3.83,3.32,3.02,2.72,1.85,1.70,1.60,1.34,1.18,1.03,1.00,0.93,0.84,0.69,0.65,0.62,0.54,0.43,0.40,0.38,0.35,0.31,0.29,0.27,0.23,0.20,0.18,0.18,0.16,0.15,0.14,0.12,0.12,0.10,0.09,0.08,0.08,0.07,0.07,0.06,0.05,0.05,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01",1.00,0,15,,
1087,Stage3,20.98,15.79,15.79,15.96,,,,,0,15,39,
1087,Stage3_PowerOpt,20.98,15.79,15.79,,15.96,,"43.00,14.90,2.71,0.67,0.55,0.39,0.24,0.20,0.18,0.16,0.15,0.11,0.10,0.09,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01",1.00,0,15,39,
1087,Stage4,20.98,15.79,15.79,,15.96,9.43;10.59;11.31;11.83;12.23;12.53;12.76;12.94;13.07;13.21;13.36;13.51;13.64;13.76;13.87;13.95;14.02;14.10;14.18;14.27;14.35;14.42;14.49;14.54;14.59;14.64;14.70;14.77;14.82;14.88;14.92;14.96;15.00;15.04;15.09;15.14;15.18,,,0,15,39,"39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39"
1088,Stage1,22.12,,,,,,,,"8,0,4",,,
1088,Stage2,22.12,19.60,,,,,,,"8,0,4",15,,
1088,PowerOpt,22.12,19.60,19.60,,,,"121.29,51.38,32.93,18.54,13.00,6.09,3.62,2.40,2.11,1.00,0.75,0.55,0.46,0.45,0.29,0.20,0.18,0.17,0.13,0.10,0.08,0.05,0.05,0.04,0.03,0.02,0.02,0.01,0.01","1.94,1.00,0.06","8,0,4",15,,
