ue,C_AE,C_UE,C_BS_hist,lambda_UE,lambda_BS,ue_beams,bs_beams
1415,59.44,42.35,"9.72,13.33,15.31,17.11,18.29,19.33,20.10,20.49,20.95,21.29,21.66,22.04,22.34,22.63,22.99,23.15,23.39,23.57,23.75,23.98,24.16,24.32,24.56,24.65,24.84,24.96,25.17,25.29,25.47,25.64,25.83,25.88,26.04,26.17,26.30,26.37,26.50,26.63,26.72,26.86,26.97,27.06,27.14,27.21,27.32,27.42,27.51,27.66,27.74,27.82,27.89,27.95,28.04,28.13,28.21,28.25,28.30,28.34,28.45,28.50,28.66,28.71,28.77,28.87","0.5626,0.5611,0.5610,0.5604","1.0557,1.0273,0.9770,0.9399,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","5,5,5,13","40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40"
1416,72.29,50.99,"10.26,16.58,20.42,22.00,23.28,24.43,25.25,25.97,26.56,27.08,27.52,27.87,28.23,28.43,28.75,29.07,29.41,29.66,29.89,30.08,30.27,30.48,30.75,30.98,31.21,31.41,31.56,31.70,31.82,31.97,32.08,32.32,32.50,32.64,32.78,32.89,32.97,33.08,33.21,33.38,33.53,33.66,33.76,33.84,33.92,34.03,34.14,34.26,34.39,34.50,34.58,34.65,34.72,34.80,34.90,34.99,35.11,35.21,35.31,35.37,35.44,35.47,35.56,35.62","0.4478,0.4476,0.4475,0.4444","1.0088,1.0048,0.9992,0.9863,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","5,5,5,5","40,54,40,40,40,54,40,40,40,54,54,54,54,40,40,54,54,40,40,40,40,40,54,54,54,54,40,40,40,54,54,40,54,40,54,40,40,40,40,40,40,54,54,54,40,40,40,54,40,54,54,54,40,40,54,54,54,54,40,40,40,24,54,40"
1417,68.93,51.48,"10.96,15.31,18.11,20.05,21.62,22.74,23.57,24.31,24.89,25.40,25.73,26.15,26.31,26.62,26.97,27.28,27.54,27.70,27.68,27.72,27.95,28.35,28.56,28.59,28.71,28.85,29.09,29.22,29.26,29.27,29.42,29.42,29.53,29.59,29.79,29.84,29.90,29.86,29.96,30.20,30.62,30.78,30.83,30.90,30.97,31.18,31.24,31.25,31.33,31.44,31.54,31.63,31.70,31.86,31.88,32.03,32.14,32.23,32.30,32.40,32.50,32.61,32.76,32.93","0.4610,0.4607,0.4606,0.4570","1.0351,1.0254,0.9863,0.9531,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","4,4,4,4","40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,56,40,40,40,40,24,40,40,40,40,40,56,40,56,40,24,40,56,40,56,56,40,24,40,40,40,24,40,40,56,40,40,40,40,40,40,56,40,24,40,40,40,24,24,40,40"
1418,64.96,54.32,"11.16,19.23,24.65,27.73,28.73,29.67,30.32,30.67,31.37,31.77,32.42,32.96,33.44,33.90,34.17,34.49,34.89,35.25,35.49,35.80,36.04,36.29,36.47,36.58,36.87,37.04,37.26,37.48,37.71,37.89,38.05,38.18,38.39,38.54,38.69,38.86,38.99,39.16,39.28,39.41,39.58,39.69,39.82,39.96,40.08,40.19,40.30,40.41,40.54,40.63,40.73,40.85,40.96,41.05,41.14,41.24,41.35,41.44,41.53,41.64,41.72,41.81,41.88,41.97","0.5397,0.5396,0.5395,0.5361","1.0039,1.0039,1.0019,0.9897,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","4,4,4,4","32,48,48,32,32,48,48,32,32,32,48,48,48,32,32,48,32,48,48,48,48,32,48,32,32,32,48,48,48,32,32,32,32,48,48,48,48,48,32,32,32,48,48,48,48,32,32,32,32,48,48,48,48,48,32,32,32,48,48,48,48,48,32,32"
1419,53.81,50.08,"11.67,17.66,21.78,23.36,24.49,25.75,26.85,27.93,28.79,29.44,29.88,30.25,30.56,30.81,31.14,31.61,32.11,32.40,32.65,32.89,33.08,33.23,33.43,33.77,34.10,34.29,34.46,34.64,34.77,34.88,35.03,35.29,35.54,35.69,35.82,35.96,36.06,36.14,36.26,36.48,36.68,36.80,36.91,37.02,37.11,37.18,37.28,37.47,37.63,37.73,37.82,37.92,37.99,38.05,38.14,38.32,38.44,38.52,38.60,38.68,38.75,38.81,38.89,39.05","0.6368,0.6366,0.6348,0.6070","1.0293,1.0147,1.0058,0.9502,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0,0,0,0","33,49,33,33,33,33,33,33,33,49,49,33,33,33,33,33,33,49,49,33,33,33,33,33,33,49,49,33,33,33,33,33,33,49,49,33,33,33,33,33,33,33,49,33,49,33,33,33,33,33,49,33,49,49,33,33,33,33,49,33,33,49,33,33"
1420,38.38,39.28,"11.50,14.89,16.99,18.47,20.00,21.30,22.33,23.13,23.72,24.21,24.95,25.19,25.48,25.74,26.16,26.61,26.79,27.10,27.36,27.54,27.72,27.94,28.18,28.39,28.61,28.79,28.94,29.05,29.19,29.34,29.50,29.69,29.77,29.92,30.10,30.21,30.21,30.21,30.25,30.39,30.45,30.58,30.56,30.54,30.83,31.07,31.24,31.30,31.30,31.34,31.37,31.49,31.57,31.62,31.73,31.82,31.81,31.83,32.15,32.22,32.26,32.35,32.48,32.57","0.9129,0.9090,0.9058,0.6907","1.0869,1.0801,1.0215,0.8111,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0,0,0,0","32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,48,0,32,32,32,32,0,32,32,32,32,32,0,32,32,32,32,32,32,32,48,32,32,32,32,32,32,32"
1421,40.65,41.08,"11.56,15.10,17.21,18.62,20.01,21.31,22.44,23.42,24.00,24.28,24.56,24.85,25.11,25.36,25.70,26.16,26.48,26.64,26.80,26.98,27.14,27.28,27.49,27.80,28.01,28.12,28.24,28.36,28.48,28.57,28.72,28.96,29.12,29.21,29.29,29.39,29.48,29.56,29.68,29.87,30.00,30.07,30.14,30.22,30.29,30.36,30.47,30.64,30.74,30.80,30.86,30.93,30.99,31.05,31.14,31.30,31.39,31.44,31.49,31.55,31.61,31.74,31.82,31.98","0.7334,0.7270,0.7143,0.6778","1.1719,1.1572,1.0293,0.6416,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","4,4,4,4","33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33"
1422,52.05,50.23,"10.08,16.91,19.49,21.19,22.56,23.48,24.02,24.79,25.66,26.22,26.89,27.45,27.90,28.22,28.62,28.93,29.38,29.71,30.14,30.30,30.50,30.81,31.09,31.29,31.62,31.94,32.01,32.22,32.34,32.44,32.82,32.95,33.07,33.09,33.20,33.33,33.51,33.61,33.61,33.63,33.74,33.97,34.09,34.12,34.18,34.26,34.32,34.47,34.55,34.59,34.58,34.59,34.64,34.74,34.83,34.94,34.99,35.20,35.33,35.58,35.63,35.70,35.80,35.87","1.0011,1.0000,0.9995,0.9994","1.0049,1.0048,0.9961,0.9946,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","9,9,9,0","55,33,39,33,33,33,33,33,33,39,55,55,39,55,39,33,33,33,55,39,55,33,33,33,33,55,33,53,39,33,55,39,39,39,39,53,39,39,39,39,33,55,39,39,39,39,53,33,53,39,39,53,39,39,33,55,33,33,33,55,39,39,39,39"
1423,50.24,48.61,"11.17,15.76,18.63,21.05,22.74,24.34,25.48,26.41,27.00,27.45,27.90,28.29,28.62,28.93,29.26,29.71,30.08,30.33,30.61,30.89,31.12,31.30,31.53,31.87,32.11,32.26,32.45,32.64,32.81,32.94,33.11,33.36,33.54,33.67,33.82,33.97,34.10,34.21,34.34,34.56,34.70,34.80,34.91,35.04,35.15,35.24,35.36,35.53,35.65,35.73,35.84,35.95,36.05,36.11,36.22,36.39,36.48,36.55,36.62,36.72,36.80,36.87,36.96,37.10","0.6914,0.6910,0.6908,0.6714","1.0195,1.0058,1.0000,0.9751,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1,1,9,1","33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33"
1424,32.36,32.03,"10.86,12.63,14.20,15.32,16.16,16.85,17.46,17.90,18.09,18.49,18.78,18.97,19.19,19.59,19.66,20.01,20.16,20.29,20.38,20.52,20.71,20.98,21.14,21.35,21.53,21.69,21.75,21.77,21.89,22.10,22.23,22.34,22.35,22.35,22.32,22.35,22.45,22.54,22.62,22.69,22.78,23.08,23.27,23.33,23.42,23.46,23.51,23.67,23.76,23.80,23.84,23.88,23.89,23.91,23.95,24.06,24.17,24.30,24.40,24.48,24.57,24.66,24.75,24.84","1.0663,1.0567,0.9681,0.9096","1.3310,1.2002,1.1045,0.3645,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0,0,0,0","33,33,33,33,33,33,33,33,33,33,33,33,33,33,16,33,33,33,33,33,33,33,33,33,33,33,33,16,33,33,33,33,16,0,39,33,33,33,33,33,33,33,33,16,33,33,16,33,33,16,33,16,33,33,33,33,33,33,33,33,33,33,33,33"
