ue_idx,pl,snr_ul,snr_dl,c_ae,c_ue,c_bs,ue_beams,bs_beams,unique_ue_beams,n_eff_ue_beams,unique_bs_beams,n_eff_bs_beams,rho_azi,rho_zen,rho_2d_euc,case
723,-73.1,30.9,49.9,47.63,41.72,59.36,"[12, 4, 12, 12]","[31, 63, 31, 31, 31, 31, 31, 63, 63, 15, 15, 63, 63, 63, 31, 31, 31, 31, 47, 15, 63, 15, 63, 63, 47, 63, 31, 63, 63, 47, 47, 31, 15, 15, 15, 47, 47, 31, 47, 15, 15, 15, 63, 63, 63, 15, 47, 31, 47, 63, 47, 47, 47, 63, 63, 47, 63, 47, 47, 63, 15, 31, 47, 15]",2,1.6,4,3.900952380952381,0.9627534701951082,6.3703737467682195,1.9038870901346487,PL_Low_AD_Mid_2d_euc
689,-69.9,34.1,53.1,46.45,40.92,71.16,"[12, 12, 7, 12]","[32, 22, 22, 22, 22, 22, 38, 22, 38, 22, 16, 38, 38, 32, 22, 22, 16, 16, 22, 38, 32, 22, 16, 16, 16, 32, 16, 38, 38, 32, 16, 22, 16, 32, 22, 16, 22, 38, 32, 32, 32, 22, 22, 16, 16, 38, 16, 32, 16, 38, 16, 32, 16, 16, 22, 38, 22, 22, 32, 38, 32, 16, 32, 32]",2,1.6,4,3.886148007590133,1.1746202595684812,3.523944944538257,2.228690566551777,PL_Low_AD_Mid_2d_euc
725,-71.4,32.6,51.6,55.15,47.46,74.65,"[12, 4, 12, 12]","[31, 63, 31, 31, 31, 31, 31, 63, 63, 63, 31, 63, 47, 63, 31, 15, 47, 63, 63, 15, 31, 15, 63, 47, 15, 63, 47, 15, 47, 47, 15, 47, 63, 15, 47, 31, 47, 63, 15, 31, 47, 47, 31, 15, 31, 47, 15, 31, 31, 63, 31, 31, 31, 15, 31, 31, 31, 15, 63, 47, 63, 47, 63, 15]",2,1.6,4,3.8568738229755177,0.5747977911418941,3.801782205607857,1.1366773803560337,PL_Low_AD_Mid_2d_euc
684,-71.9,32.1,51.1,66.41,53.38,76.11,"[15, 1, 15, 1]","[39, 0, 39, 0, 39, 0, 39, 0, 0, 39, 0, 39, 39, 0, 39, 39, 39, 23, 23, 48, 23, 23, 39, 39, 23, 48, 0, 23, 39, 39, 23, 39, 0, 0, 39, 39, 23, 39, 23, 0, 23, 23, 23, 23, 23, 23, 48, 0, 48, 48, 48, 39, 0, 48, 0, 0, 39, 48, 48, 23, 48, 0, 0, 48]",2,2.0,4,3.8424015009380863,0.631603514363135,3.8189623958050647,1.246277560002612,PL_Low_AD_Mid_2d_euc
527,-68.8,35.2,54.2,65.62,50.62,70.75,"[11, 5, 3, 11]","[24, 8, 24, 24, 24, 8, 24, 24, 24, 8, 24, 24, 8, 24, 8, 30, 30, 24, 8, 8, 24, 18, 24, 24, 30, 24, 8, 24, 24, 30, 8, 18, 30, 30, 24, 24, 18, 30, 8, 8, 30, 8, 18, 24, 8, 18, 30, 30, 30, 24, 18, 24, 8, 8, 30, 18, 18, 30, 8, 18, 8, 18, 30, 18]",3,2.6666666666666665,4,3.757798165137615,0.6050370590702068,3.225704975495944,1.1893336750122145,PL_Low_AD_Mid_2d_euc
605,-69.2,34.8,53.8,57.61,47.83,63.45,"[11, 5, 3, 11]","[23, 7, 23, 23, 23, 7, 23, 23, 32, 7, 7, 7, 23, 23, 23, 23, 7, 23, 32, 7, 32, 32, 7, 7, 38, 23, 7, 38, 23, 32, 23, 7, 32, 7, 32, 38, 7, 38, 7, 7, 7, 38, 32, 38, 7, 38, 7, 7, 38, 38, 32, 23, 38, 38, 23, 38, 32, 23, 38, 38, 7, 23, 7, 7]",3,2.6666666666666665,4,3.710144927536232,0.5765312724809404,3.512183168269448,1.1378345035230293,PL_Low_AD_Mid_2d_euc
561,-70.9,33.1,52.1,65.26,55.73,73.56,"[12, 5, 12, 5]","[31, 25, 31, 31, 31, 25, 31, 31, 25, 31, 31, 25, 31, 31, 25, 25, 31, 25, 31, 25, 29, 25, 25, 25, 25, 27, 31, 25, 27, 29, 31, 29, 25, 29, 27, 27, 31, 27, 25, 31, 31, 31, 25, 27, 29, 27, 27, 31, 29, 31, 27, 27, 29, 29, 27, 29, 31, 27, 27, 31, 25, 31, 29, 29]",2,2.0,4,3.696750902527076,0.9871572321064608,5.79215392130924,1.9462509885018966,PL_Low_AD_Mid_2d_euc
444,-68.6,35.4,54.4,66.6,56.66,73.4,"[0, 8, 0, 8]","[31, 63, 31, 31, 47, 31, 31, 47, 31, 47, 47, 47, 47, 47, 31, 15, 31, 15, 15, 15, 63, 47, 31, 47, 47, 31, 47, 31, 31, 31, 31, 47, 63, 15, 47, 15, 15, 63, 15, 31, 31, 15, 15, 47, 47, 63, 63, 31, 63, 47, 63, 15, 47, 31, 47, 63, 31, 31, 63, 31, 47, 31, 63, 15]",2,2.0,4,3.69009009009009,1.1485858842446708,5.814763993009184,2.25362668618531,PL_Low_AD_Mid_2d_euc
562,-68.8,35.2,54.2,75.23,59.16,96.83,"[0, 8, 0, 0]","[31, 48, 0, 31, 31, 31, 48, 48, 48, 31, 48, 31, 31, 48, 31, 48, 31, 48, 48, 31, 48, 48, 0, 31, 32, 32, 0, 32, 31, 32, 0, 48, 32, 0, 31, 48, 0, 48, 31, 0, 48, 48, 48, 0, 31, 48, 31, 0, 31, 0, 32, 48, 32, 48, 31, 0, 32, 32, 31, 31, 48, 31, 32, 0]",2,1.6,4,3.6376554174067497,0.9138869914857763,7.920912577463802,1.8157286899299854,PL_Low_AD_Mid_2d_euc
567,-68.2,35.8,54.8,66.2,52.93,92.05,"[8, 0, 8, 0]","[30, 24, 24, 24, 24, 30, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 26, 24, 26, 30, 26, 24, 28, 24, 28, 28, 30, 26, 26, 26, 30, 26, 24, 28, 28, 28, 28, 30, 26, 28, 24, 30, 24, 24, 26, 28, 24, 24, 30, 30, 28, 30, 30, 24, 26, 28, 26, 26, 24, 28, 30, 30, 26, 26]",2,2.0,4,3.6119929453262785,0.6212679182614491,3.2116509331673426,1.2199208724764332,PL_Low_AD_Mid_2d_euc
