ue_idx,pl,snr_ul,snr_dl,c_ae,c_ue,c_bs,ue_beams,bs_beams,unique_ue_beams,n_eff_ue_beams,unique_bs_beams,n_eff_bs_beams,rho_azi,rho_zen,rho_2d_euc,case
602,-71.2,32.8,51.8,36.27,31.54,64.71,"[12, 4, 12, 12]","[39, 39, 39, 39, 39, 39, 39, 23, 39, 23, 39, 39, 23, 23, 23, 0, 39, 39, 23, 39, 39, 48, 0, 48, 23, 0, 0, 23, 48, 23, 48, 0, 48, 39, 23, 0, 48, 39, 23, 0, 23, 48, 23, 48, 48, 0, 39, 0, 48, 48, 0, 0, 0, 39, 39, 23, 23, 23, 39, 23, 23, 48, 39, 39]",2,1.6,4,3.7372262773722627,7.827728589242489,6.305173739557397,9.820661707693127,PL_Low_AD_High_azi
728,-69.4,34.6,53.6,42.5,37.13,92.05,"[12, 12, 12, 4]","[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 28, 32, 30, 30, 28, 28, 32, 30, 30, 28, 32, 32, 30, 30, 16, 30, 30, 16, 32, 28, 16, 16, 16, 30, 28, 32, 16, 16, 32, 16, 16, 30, 28, 30, 30, 32, 28, 16, 30, 28, 28, 30, 32, 30, 32, 32, 32, 32, 32, 16, 16, 32, 28, 16]",2,1.6,4,3.592982456140351,3.6873543409762637,6.000682213220483,6.283241915769242,PL_Low_AD_High_azi
485,-69.8,34.2,53.2,66.11,55.94,70.21,"[12, 4, 12, 4]","[24, 56, 24, 56, 24, 56, 24, 56, 56, 24, 56, 24, 24, 24, 56, 24, 56, 24, 24, 22, 8, 22, 24, 56, 8, 24, 22, 24, 22, 22, 56, 56, 24, 8, 24, 56, 24, 24, 22, 22, 22, 22, 8, 56, 56, 56, 56, 56, 8, 22, 22, 22, 56, 8, 56, 56, 24, 56, 22, 56, 22, 56, 24, 22]",2,2.0,4,3.4420168067226893,2.147966766442531,8.646437933031105,4.1692109480933315,PL_Low_AD_High_azi
256,-80.3,23.7,42.7,26.11,23.04,31.69,"[15, 15, 15, 15]","[48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 0, 48, 48, 0, 48, 0, 0, 6, 6, 0, 6, 54, 0, 0, 48, 0, 6, 0, 48, 6, 48, 6, 6, 0, 54, 54, 6, 48, 48, 48, 54, 54, 6, 0, 48, 54, 6, 6, 48, 54, 0, 48, 48, 54, 48, 0, 48, 0, 54, 0, 54, 54]",1,1.0,4,3.4247491638795986,2.233500333729268,8.140184153441437,4.307788714088098,PL_Low_AD_High_azi
721,-74.2,29.8,48.8,42.1,36.83,64.16,"[3, 3, 11, 3]","[31, 31, 31, 31, 31, 31, 31, 31, 31, 24, 31, 24, 31, 24, 31, 24, 38, 31, 24, 31, 38, 31, 47, 31, 24, 47, 38, 38, 47, 47, 31, 24, 24, 24, 47, 31, 24, 31, 47, 38, 47, 31, 38, 24, 31, 24, 31, 31, 38, 47, 31, 31, 24, 38, 38, 47, 24, 24, 47, 31, 38, 47, 31, 24]",2,1.6,4,3.396351575456053,9.69633973660482,7.719421264397641,12.078554995966886,PL_Low_AD_High_azi
686,-71.6,32.4,51.4,41.68,37.17,70.72,"[12, 4, 12, 12]","[39, 39, 39, 39, 39, 39, 39, 39, 39, 55, 55, 39, 55, 39, 23, 39, 39, 55, 55, 39, 55, 55, 7, 23, 39, 7, 55, 23, 55, 7, 7, 39, 39, 39, 39, 23, 7, 55, 39, 23, 55, 39, 23, 39, 39, 7, 7, 7, 23, 55, 39, 55, 23, 39, 7, 7, 39, 7, 55, 55, 55, 55, 55, 7]",2,1.6,4,3.390728476821192,8.795834958939556,5.50713257999232,9.335431181033423,PL_Low_AD_High_azi
608,-66.7,37.3,56.3,43.69,39.31,139.22,"[12, 7, 12, 12]","[22, 22, 22, 22, 16, 22, 22, 22, 22, 16, 28, 16, 22, 16, 38, 16, 22, 16, 28, 38, 16, 16, 22, 16, 38, 28, 16, 22, 16, 38, 16, 22, 22, 28, 22, 16, 22, 22, 28, 28, 16, 22, 28, 22, 16, 16, 16, 16, 16, 22, 38, 16, 22, 28, 38, 28, 22, 28, 16, 16, 22, 16, 38, 38]",2,1.6,4,3.351882160392799,9.339288162940246,8.393671013309419,12.4856999766689,PL_Low_AD_High_azi
568,-67.3,36.7,55.7,43.44,38.26,117.34,"[11, 3, 11, 11]","[23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 39, 23, 63, 39, 63, 39, 63, 7, 7, 39, 23, 23, 23, 23, 39, 63, 7, 63, 63, 7, 39, 23, 63, 23, 7, 23, 7, 63, 23, 23, 39, 39, 7, 23, 23, 7, 39, 63, 7, 39, 39, 23, 23, 7, 23, 7, 39, 39, 23, 63, 7, 23, 23, 39]",2,1.6,4,3.34640522875817,9.673706641236489,5.3808495333271,9.404705483580308,PL_Low_AD_High_azi
687,-69.2,34.8,53.8,51.59,44.71,96.56,"[8, 8, 8, 0]","[30, 30, 30, 30, 24, 30, 30, 24, 26, 26, 26, 30, 30, 24, 30, 30, 30, 24, 30, 30, 28, 30, 30, 24, 28, 24, 26, 24, 24, 24, 24, 24, 26, 30, 30, 24, 28, 24, 28, 26, 30, 24, 26, 26, 28, 28, 30, 24, 24, 30, 24, 30, 28, 26, 24, 26, 30, 30, 30, 24, 26, 26, 30, 30]",2,1.6,4,3.330081300813008,2.156699178701808,8.072989326247754,4.16725431295893,PL_Low_AD_High_azi
682,-74.0,30.0,49.0,39.9,34.96,48.98,"[3, 3, 11, 3]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 30, 32, 32, 32, 23, 32, 32, 32, 32, 16, 23, 16, 30, 32, 30, 23, 23, 32, 16, 30, 32, 16, 23, 23, 23, 23, 23, 16, 32, 23, 32, 23, 32, 23, 30, 32, 23, 32, 32, 30, 32, 32, 16, 23, 30, 30, 30, 16, 23, 16, 30, 30, 23, 16]",2,1.6,4,3.2979066022544283,7.402962856082199,6.479975959991806,9.751801662841995,PL_Low_AD_High_azi
849,-75.3,28.7,47.7,44.06,36.81,50.86,"[11, 0, 11, 0]","[39, 33, 39, 39, 39, 39, 39, 39, 33, 39, 39, 33, 33, 33, 39, 33, 33, 39, 33, 39, 39, 33, 39, 33, 39, 37, 33, 33, 33, 33, 33, 33, 39, 22, 39, 22, 39, 39, 37, 39, 33, 39, 37, 39, 37, 22, 39, 39, 37, 39, 37, 39, 37, 37, 22, 37, 22, 39, 37, 22, 39, 22, 22, 22]",2,2.0,4,3.266347687400319,8.066104193176827,5.396911935614056,8.970977435207184,PL_Low_AD_High_azi
564,-70.2,33.8,52.8,43.0,37.92,78.82,"[12, 12, 4, 12]","[16, 16, 16, 16, 16, 16, 16, 32, 16, 32, 38, 16, 38, 16, 16, 32, 16, 22, 16, 22, 32, 16, 16, 16, 22, 16, 22, 32, 38, 22, 38, 16, 38, 16, 22, 32, 38, 16, 38, 32, 16, 32, 38, 22, 22, 22, 32, 16, 16, 22, 16, 38, 16, 32, 38, 32, 32, 16, 38, 38, 16, 16, 38, 16]",2,1.6,4,3.266347687400319,9.188223728180484,6.40853259390897,10.512617055680746,PL_Low_AD_High_azi
565,-68.3,35.7,54.7,45.57,40.35,91.77,"[0, 8, 0, 8]","[16, 16, 16, 16, 16, 16, 16, 16, 16, 39, 39, 16, 22, 16, 22, 16, 16, 39, 16, 39, 7, 16, 22, 39, 39, 16, 16, 7, 39, 16, 16, 7, 7, 39, 7, 22, 22, 16, 22, 39, 22, 39, 16, 39, 39, 39, 39, 16, 16, 22, 22, 22, 39, 16, 22, 39, 39, 7, 39, 39, 16, 39, 22, 16]",2,2.0,4,3.261146496815287,6.249249089127789,5.228800260201099,8.020421854372493,PL_Low_AD_High_azi
609,-65.9,38.1,57.1,45.0,39.39,210.63,"[15, 4, 15, 15]","[22, 22, 22, 22, 22, 22, 22, 22, 15, 24, 15, 30, 30, 30, 24, 22, 15, 30, 15, 30, 30, 15, 30, 22, 24, 24, 22, 22, 15, 30, 30, 30, 15, 22, 30, 22, 22, 22, 22, 22, 24, 30, 22, 24, 22, 30, 24, 30, 22, 22, 22, 22, 30, 30, 30, 22, 22, 30, 24, 30, 15, 30, 24, 30]",2,1.6,4,3.2456418383518226,11.028398746651781,5.563979971449123,9.935146966396575,PL_Low_AD_High_azi
644,-70.9,33.1,52.1,46.88,41.23,76.62,"[0, 8, 0, 8]","[39, 39, 39, 39, 39, 39, 39, 39, 39, 23, 39, 39, 39, 23, 39, 39, 39, 0, 23, 48, 48, 39, 23, 23, 23, 48, 0, 48, 39, 0, 39, 48, 39, 0, 0, 48, 23, 0, 39, 23, 23, 23, 23, 48, 39, 48, 0, 39, 23, 23, 48, 39, 39, 48, 39, 39, 39, 0, 39, 39, 23, 48, 0, 23]",2,2.0,4,3.230283911671924,5.754995144802567,6.016787399543289,8.317733893093287,PL_Low_AD_High_azi
