ue_idx,pl,snr_ul,snr_dl,c_ae,c_ue,c_bs,ue_beams,bs_beams,unique_ue_beams,n_eff_ue_beams,unique_bs_beams,n_eff_bs_beams,rho_azi,rho_zen,rho_2d_euc,case
308,-116.1,-12.1,6.9,9.57,9.94,16.44,"[4, 4, 4, 4]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]",1,1.0,1,1.0,11.880731347063055,3.4620745516596823,6.647655018632862,PL_High_AD_Low_zen
862,-110.5,-6.5,12.5,19.21,17.68,27.95,"[5, 14, 5, 5]","[34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34]",2,1.6,1,1.0,1.8767291362104193,2.9004249227146373,3.151299679603796,PL_High_AD_Low_zen
863,-108.8,-4.8,14.2,22.14,19.08,32.22,"[9, 1, 9, 9]","[26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26]",2,1.6,1,1.0,0.9601951370509997,1.9518419264220808,1.7231667324924769,PL_High_AD_Low_zen
1347,-119.3,-15.3,3.7,11.68,10.53,20.97,"[5, 5, 5, 5]","[24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24]",1,1.0,1,1.0,0.17386634829542053,3.074089679916807,0.34717784975354105,PL_High_AD_Low_zen
906,-117.6,-13.6,5.4,8.95,8.59,14.14,"[1, 1, 1, 1]","[33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33]",1,1.0,1,1.0,0.3323967787466887,2.274957556165417,0.6578090255913887,PL_High_AD_Low_zen
907,-119.4,-15.4,3.6,8.47,8.29,13.59,"[0, 0, 0, 0]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]",1,1.0,1,1.0,0.25845781742938784,1.969279210220829,0.5125203439169135,PL_High_AD_Low_zen
937,-115.7,-11.7,7.3,10.39,10.16,19.25,"[1, 1, 1, 1]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]",1,1.0,1,1.0,0.19331069968822787,1.554287822072222,0.3836654176711992,PL_High_AD_Low_zen
976,-122.8,-18.8,0.2,7.11,7.37,14.26,"[4, 4, 4, 4]","[56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56]",1,1.0,1,1.0,2.0490339401132793,1.6826753535672103,2.6007809914929285,PL_High_AD_Low_zen
1016,-116.9,-12.9,6.1,9.9,11.34,19.98,"[4, 4, 4, 4]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]",1,1.0,1,1.0,0.26969615707847583,2.744734042270887,0.5368071224301333,PL_High_AD_Low_zen
820,-114.7,-10.7,8.3,16.57,13.94,23.14,"[9, 1, 1, 9]","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]",2,2.0,1,1.0,0.27455739598650547,1.0655477597197012,0.5317463986782082,PL_High_AD_Low_zen
