ue_idx,pl,snr_ul,snr_dl,c_ae,c_ue,c_bs,ue_beams,bs_beams,unique_ue_beams,n_eff_ue_beams,unique_bs_beams,n_eff_bs_beams,rho_azi,rho_zen,rho_2d_euc,case
1546,-122.7,-18.7,0.3,7.2,6.77,14.25,"[5, 5, 5, 5]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]",1,1.0,1,1.0,5.857544289598665,4.336959527696645,6.971106808768932,PL_High_AD_Mid_zen
789,-120.1,-16.1,2.9,8.22,8.07,16.03,"[0, 0, 0, 0]","[33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33]",1,1.0,1,1.0,4.044514811243964,4.538977387169529,6.039291897647299,PL_High_AD_Mid_zen
796,-118.5,-14.5,4.5,9.13,8.89,17.13,"[1, 1, 1, 1]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]",1,1.0,1,1.0,5.519284788046421,3.804870345397214,6.265249006052225,PL_High_AD_Mid_zen
827,-118.3,-14.3,4.7,9.15,9.53,17.77,"[4, 4, 4, 4]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]",1,1.0,1,1.0,1.8140244902692602,4.609410798900402,3.3760176094113277,PL_High_AD_Mid_zen
1143,-115.6,-11.6,7.4,14.43,15.1,26.45,"[4, 4, 4, 4]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",1,1.0,1,1.0,2.2362100553333906,5.095544948040756,4.095398694855969,PL_High_AD_Mid_zen
869,-122.1,-18.1,0.9,7.53,7.55,14.81,"[5, 5, 5, 5]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]",1,1.0,1,1.0,1.00041427941267,5.263885375342088,1.965643993458609,PL_High_AD_Mid_zen
894,-121.0,-17.0,2.0,10.05,8.24,14.78,"[13, 13, 13, 5]","[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42]",2,1.6,1,1.0,10.314459042340967,5.145922234137116,9.209340312412559,PL_High_AD_Mid_zen
944,-110.9,-6.9,12.1,13.98,15.43,24.45,"[5, 5, 5, 5]","[26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26]",1,1.0,1,1.0,3.996087588681457,5.3730014863896765,6.41297448577424,PL_High_AD_Mid_zen
1137,-114.1,-10.1,8.9,12.24,12.99,20.27,"[4, 4, 4, 4]","[41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41]",1,1.0,1,1.0,6.860120127363345,4.421949395549415,7.433440073250925,PL_High_AD_Mid_zen
1135,-113.1,-9.1,9.9,10.94,11.63,17.33,"[5, 5, 5, 5]","[40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40]",1,1.0,1,1.0,0.13207449774602797,4.7388353646664365,0.26404646318242325,PL_High_AD_Mid_zen
