ue_idx,pl,snr_ul,snr_dl,c_ae,c_ue,c_bs,ue_beams,bs_beams,unique_ue_beams,n_eff_ue_beams,unique_bs_beams,n_eff_bs_beams,rho_azi,rho_zen,rho_2d_euc,case
1011,-91.0,13.0,32.0,22.1,18.8,29.96,"[12, 12, 4, 12]","[39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 23, 39, 39, 39, 39, 46, 46, 39, 39, 23, 46, 39, 23, 39, 23, 46, 23, 39, 39, 46, 29, 23, 23, 39, 39]",2,1.6,4,1.5306427503736921,3.80711600401506,6.285020568854033,6.512587326821964,PL_Mid_AD_High_2d_euc
1010,-92.2,11.8,30.8,31.25,26.94,37.64,"[11, 5, 11, 11]","[31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 47, 31, 31, 31, 31, 30, 31, 31, 31, 31, 31, 47, 31, 31, 31, 31, 31, 31, 31, 30, 30, 31, 47, 31, 31, 31, 30, 31, 31, 30, 47, 31, 31, 31, 46, 31, 31, 31, 31, 31, 31, 30]",2,1.6,4,1.4311670160726764,2.4761610966774645,4.216056256155463,4.270288846595097,PL_Mid_AD_High_2d_euc
629,-106.4,-2.4,16.6,21.81,19.75,30.07,"[4, 12, 4, 12]","[34, 46, 34, 46, 46, 34, 34, 34, 34, 34, 46, 46, 34, 34, 34, 34, 34, 34, 34, 46, 46, 34, 34, 34, 34, 34, 34, 46, 46, 34, 34, 34, 34, 34, 34, 46, 46, 34, 34, 34, 34, 34, 34, 46, 46, 46, 34, 34, 34, 34, 34, 34, 46, 34, 34, 34, 34, 34, 34, 34, 46, 34, 34, 34]",2,2.0,2,1.6,5.826749583549304,7.771861360358191,9.32403524412377,PL_Mid_AD_High_2d_euc
1009,-92.1,11.9,30.9,22.2,19.34,28.88,"[12, 12, 12, 12]","[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 47, 30, 47, 47, 30, 30, 47, 30, 24, 30, 24, 47, 30, 30, 30, 47, 30, 30, 47, 30, 30, 47, 30, 47, 30, 24, 30, 47, 47, 47, 30, 30]",1,1.0,3,1.6037588097102584,2.2361519093478375,4.227457991154045,3.953307997663143,PL_Mid_AD_High_2d_euc
1129,-96.1,7.9,26.9,21.35,20.34,30.52,"[12, 12, 12, 12]","[38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 24, 38, 38, 38, 38, 38, 38, 38, 24, 38, 24, 38, 38, 38, 32, 38, 38, 38, 36, 36, 38, 38, 38, 38, 38, 32, 38, 24, 32, 24]",1,1.0,4,1.3865944482058226,2.5193648080661566,5.898715590755507,4.633781758845849,PL_Mid_AD_High_2d_euc
545,-102.3,1.7,20.7,28.32,22.34,30.88,"[8, 0, 0, 0]","[47, 47, 47, 47, 47, 40, 40, 40, 40, 47, 40, 47, 40, 40, 40, 40, 40, 40, 40, 47, 47, 40, 40, 40, 40, 40, 40, 47, 47, 40, 40, 40, 40, 40, 40, 47, 47, 40, 40, 40, 40, 40, 40, 47, 47, 40, 40, 40, 40, 40, 40, 40, 47, 40, 40, 40, 40, 40, 40, 40, 47, 40, 40, 40]",2,1.6,2,1.6397117694155323,2.9397833827024984,5.789185922571003,5.242373684803765,PL_Mid_AD_High_2d_euc
1288,-102.3,1.7,20.7,22.23,21.57,33.44,"[0, 0, 0, 0]","[39, 39, 39, 39, 39, 39, 39, 41, 41, 41, 39, 39, 39, 39, 41, 41, 41, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 41, 41, 39, 41, 39, 39, 39, 39, 41, 39, 39]",1,1.0,2,1.3580901856763925,2.127031305091712,4.11195827656641,3.77847484257086,PL_Mid_AD_High_2d_euc
1052,-93.7,10.3,29.3,22.31,19.35,30.56,"[11, 11, 11, 11]","[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 24, 30, 30, 30, 30, 30, 30, 30, 47, 30, 30, 30, 30, 30, 30, 30, 30, 30, 28, 47, 47, 30, 24, 24, 28, 28, 30, 30, 30, 28, 30, 24, 30, 28, 47, 28, 24, 30]",1,1.0,4,1.6529459241323647,2.77462204830041,5.767134730524172,5.000605462537318,PL_Mid_AD_High_2d_euc
1088,-95.9,8.1,27.1,19.19,16.39,26.79,"[8, 8, 0, 0]","[31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 47, 63, 47, 31, 31, 47, 63, 31, 31, 47, 47, 31, 31, 47, 47]",2,2.0,3,1.3307342430149447,4.225725059889738,6.070526546388998,6.936365958096573,PL_Mid_AD_High_2d_euc
1327,-99.6,4.4,23.4,26.11,23.37,34.34,"[15, 4, 15, 4]","[32, 32, 0, 32, 32, 0, 0, 0, 0, 0, 32, 32, 32, 32, 0, 0, 0, 0, 32, 32, 32, 32, 0, 0, 0, 0, 32, 32, 32, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0]",2,2.0,2,1.7166806370494552,12.046965277119527,11.871737498879815,16.911715388379903,PL_Mid_AD_High_2d_euc
1169,-98.2,5.8,24.8,16.29,15.87,24.94,"[12, 12, 12, 12]","[38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 32, 38, 38, 38, 38, 38, 38, 32, 32, 32, 32, 38, 38, 38, 32, 32, 32, 38, 38, 38, 38, 38]",1,1.0,2,1.28,6.424473315074911,4.817235460187828,7.70822143950118,PL_Mid_AD_High_2d_euc
