ue_idx,pl,snr_ul,snr_dl,c_ae,c_ue,c_bs,ue_beams,bs_beams,unique_ue_beams,n_eff_ue_beams,unique_bs_beams,n_eff_bs_beams,rho_azi,rho_zen,rho_2d_euc,case
567,-68.2,35.8,54.8,66.2,52.93,92.05,"[8, 0, 8, 0]","[30, 24, 24, 24, 24, 30, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 26, 24, 26, 30, 26, 24, 28, 24, 28, 28, 30, 26, 26, 26, 30, 26, 24, 28, 28, 28, 28, 30, 26, 28, 24, 30, 24, 24, 26, 28, 24, 24, 30, 30, 28, 30, 30, 24, 26, 28, 26, 26, 24, 28, 30, 30, 26, 26]",2,2.0,4,3.6119929453262785,0.6212679182614491,3.2116509331673426,1.2199208724764332,PL_Low_AD_Mid_azi
483,-68.8,35.2,54.2,69.53,58.24,78.5,"[0, 11, 0, 9]","[23, 48, 23, 48, 23, 48, 48, 23, 48, 23, 48, 23, 48, 23, 48, 48, 23, 23, 32, 32, 28, 23, 23, 48, 48, 48, 48, 23, 32, 23, 32, 28, 23, 32, 48, 28, 28, 23, 23, 28, 32, 32, 28, 48, 48, 48, 23, 28, 23, 23, 28, 28, 48, 48, 28, 32, 32, 23, 48, 23, 48, 48, 32, 32]",3,2.6666666666666665,4,3.574171029668412,1.2843710811828357,8.69417125614071,2.541163263012032,PL_Low_AD_Mid_azi
655,-67.0,37.0,56.0,46.28,37.99,130.25,"[7, 7, 15, 7]","[5, 5, 5, 21, 5, 15, 5, 21, 5, 21, 15, 5, 5, 21, 15, 15, 53, 5, 53, 21, 53, 5, 15, 5, 15, 5, 21, 21, 5, 53, 15, 5, 15, 15, 21, 53, 21, 15, 5, 15, 5, 21, 21, 53, 21, 5, 21, 15, 21, 21, 5, 5, 5, 15, 15, 21, 15, 53, 21, 15, 21, 15, 5, 5]",2,1.6,4,3.574171029668412,1.3253911375736342,3.4790996474270686,2.477118823907182,PL_Low_AD_Mid_azi
562,-68.8,35.2,54.2,75.23,59.16,96.83,"[0, 8, 0, 0]","[31, 48, 0, 31, 31, 31, 48, 48, 48, 31, 48, 31, 31, 48, 31, 48, 31, 48, 48, 31, 48, 48, 0, 31, 32, 32, 0, 32, 31, 32, 0, 48, 32, 0, 31, 48, 0, 48, 31, 0, 48, 48, 48, 0, 31, 48, 31, 0, 31, 0, 32, 48, 32, 48, 31, 0, 32, 32, 31, 31, 48, 31, 32, 0]",2,1.6,4,3.6376554174067497,0.9138869914857763,7.920912577463802,1.8157286899299854,PL_Low_AD_Mid_azi
647,-69.3,34.7,53.7,48.33,39.08,107.69,"[11, 11, 11, 11]","[23, 23, 23, 23, 23, 23, 23, 23, 16, 23, 38, 23, 16, 23, 38, 22, 23, 23, 22, 38, 23, 16, 38, 16, 16, 23, 38, 38, 16, 16, 16, 23, 22, 16, 16, 16, 23, 23, 23, 16, 22, 22, 22, 16, 38, 23, 22, 16, 22, 16, 38, 16, 22, 22, 38, 16, 22, 16, 23, 23, 22, 23, 22, 23]",1,1.0,4,3.5617391304347827,1.4171301547416955,6.504084067963177,2.769289154619943,PL_Low_AD_Mid_azi
566,-68.6,35.4,54.4,63.73,51.55,69.26,"[11, 5, 3, 11]","[16, 16, 16, 16, 16, 16, 16, 22, 16, 16, 22, 16, 32, 39, 16, 22, 16, 39, 16, 32, 16, 39, 32, 22, 22, 22, 32, 32, 32, 22, 22, 39, 22, 22, 32, 22, 16, 32, 39, 32, 16, 39, 16, 22, 22, 16, 32, 39, 16, 32, 22, 32, 32, 22, 32, 32, 16, 39, 16, 32, 32, 16, 16, 16]",3,2.6666666666666665,4,3.5493934142114383,0.5898939809334112,1.9911721754394118,1.1311913077791558,PL_Low_AD_Mid_azi
442,-70.5,33.5,52.5,46.61,39.63,83.83,"[12, 4, 12, 12]","[24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 26, 24, 24, 24, 30, 24, 24, 15, 24, 30, 30, 26, 26, 24, 15, 24, 15, 30, 26, 24, 24, 26, 30, 30, 30, 15, 26, 15, 15, 30, 30, 26, 26, 24, 24, 15, 30, 15, 26, 24, 30, 26, 26, 24, 30, 30, 15, 24, 15, 24, 26, 30, 30, 15]",2,1.6,4,3.5128644939965694,0.661761724199672,5.427337251316824,1.313793255707965,PL_Low_AD_Mid_azi
444,-68.6,35.4,54.4,66.6,56.66,73.4,"[0, 8, 0, 8]","[31, 63, 31, 31, 47, 31, 31, 47, 31, 47, 47, 47, 47, 47, 31, 15, 31, 15, 15, 15, 63, 47, 31, 47, 47, 31, 47, 31, 31, 31, 31, 47, 63, 15, 47, 15, 15, 63, 15, 31, 31, 15, 15, 47, 47, 63, 63, 31, 63, 47, 63, 15, 47, 31, 47, 63, 31, 31, 63, 31, 47, 31, 63, 15]",2,2.0,4,3.69009009009009,1.1485858842446708,5.814763993009184,2.25362668618531,PL_Low_AD_Mid_azi
577,-79.0,25.0,44.0,37.93,29.34,39.75,"[11, 1, 11, 11]","[62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 6, 62, 62, 62, 62, 6, 62, 6, 6, 6, 54, 54, 6, 54, 22, 62, 6, 22, 6, 62, 22, 22, 54, 62, 62, 54, 22, 62, 54, 6, 6, 62, 54, 6, 54, 62, 6, 54, 62, 62, 22, 62, 54, 62, 22, 54, 54, 54, 6, 22, 54, 22, 22, 6]",2,1.6,4,3.506849315068493,1.7589394408398111,2.018040468592189,2.6519271293433717,PL_Low_AD_Mid_azi
561,-70.9,33.1,52.1,65.26,55.73,73.56,"[12, 5, 12, 5]","[31, 25, 31, 31, 31, 25, 31, 31, 25, 31, 31, 25, 31, 31, 25, 25, 31, 25, 31, 25, 29, 25, 25, 25, 25, 27, 31, 25, 27, 29, 31, 29, 25, 29, 27, 27, 31, 27, 25, 31, 31, 31, 25, 27, 29, 27, 27, 31, 29, 31, 27, 27, 29, 29, 27, 29, 31, 27, 27, 31, 25, 31, 29, 29]",2,2.0,4,3.696750902527076,0.9871572321064608,5.79215392130924,1.9462509885018966,PL_Low_AD_Mid_azi
