ue_idx,pl,snr_ul,snr_dl,c_ae,c_ue,c_bs,ue_beams,bs_beams,unique_ue_beams,n_eff_ue_beams,unique_bs_beams,n_eff_bs_beams,rho_azi,rho_zen,rho_2d_euc,case
682,-74.0,30.0,49.0,39.9,34.96,48.98,"[3, 3, 11, 3]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 30, 32, 32, 32, 23, 32, 32, 32, 32, 16, 23, 16, 30, 32, 30, 23, 23, 32, 16, 30, 32, 16, 23, 23, 23, 23, 23, 16, 32, 23, 32, 23, 32, 23, 30, 32, 23, 32, 32, 30, 32, 32, 16, 23, 30, 30, 30, 16, 23, 16, 30, 30, 23, 16]",2,1.6,4,3.2979066022544283,7.402962856082199,6.479975959991806,9.751801662841995,PL_Low_AD_High_zen
289,-74.2,29.8,48.8,72.35,55.29,69.59,"[15, 4, 15, 4]","[15, 57, 15, 57, 15, 57, 57, 15, 15, 57, 15, 15, 15, 15, 15, 15, 57, 57, 15, 57, 57, 57, 57, 15, 15, 9, 9, 57, 15, 57, 15, 63, 15, 15, 9, 15, 57, 15, 57, 9, 9, 9, 15, 63, 63, 9, 57, 63, 15, 63, 9, 63, 15, 9, 57, 63, 57, 15, 15, 15, 57, 9, 9, 57]",2,2.0,4,3.287319422150883,0.27167939118285134,7.8964944543183,0.5430374784138826,PL_Low_AD_High_zen
729,-69.0,35.0,54.0,48.98,43.82,131.9,"[12, 12, 4, 12]","[39, 39, 39, 39, 39, 39, 39, 39, 39, 32, 38, 39, 39, 39, 38, 38, 39, 32, 38, 22, 38, 39, 39, 38, 32, 39, 39, 39, 39, 22, 32, 22, 32, 32, 39, 38, 22, 38, 39, 38, 22, 38, 39, 39, 39, 38, 38, 38, 32, 22, 22, 39, 32, 38, 38, 38, 38, 22, 22, 22, 39, 32, 39, 38]",2,1.6,4,3.319286871961102,1.6531547112239307,7.194584496221657,3.222337437472656,PL_Low_AD_High_zen
288,-70.0,34.0,53.0,73.73,54.4,78.54,"[15, 4, 4, 15]","[7, 23, 7, 23, 7, 7, 7, 23, 7, 7, 7, 7, 7, 7, 7, 7, 7, 23, 7, 39, 55, 7, 55, 23, 55, 23, 7, 23, 7, 39, 55, 7, 23, 7, 23, 39, 55, 55, 39, 39, 55, 55, 7, 23, 55, 7, 7, 39, 7, 55, 39, 23, 23, 7, 7, 7, 39, 39, 23, 55, 23, 55, 55, 7]",2,2.0,4,3.330081300813008,0.2582113188591146,8.858580708483828,0.5162033971568049,PL_Low_AD_High_zen
370,-70.7,33.3,52.3,52.38,39.39,73.65,"[15, 15, 5, 15]","[23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 0, 0, 0, 39, 0, 6, 0, 0, 0, 6, 23, 23, 39, 6, 6, 39, 6, 0, 23, 0, 23, 23, 39, 23, 0, 23, 6, 6, 23, 6, 23, 39, 23, 6, 6, 0, 0, 39, 6, 23, 23, 6, 23, 0, 6, 0, 39, 6, 0, 0, 23]",2,1.6,4,3.330081300813008,0.2811721572163624,6.118639911210391,0.5617514983405071,PL_Low_AD_High_zen
521,-71.6,32.4,51.4,68.02,58.28,73.96,"[12, 4, 12, 4]","[31, 31, 31, 31, 25, 31, 25, 25, 25, 25, 25, 25, 31, 31, 25, 31, 31, 25, 25, 27, 25, 25, 31, 25, 31, 25, 31, 31, 27, 31, 29, 31, 27, 31, 29, 31, 29, 29, 27, 31, 31, 25, 31, 31, 25, 29, 25, 29, 25, 25, 27, 27, 29, 25, 31, 27, 29, 31, 27, 31, 25, 31, 27, 27]",2,2.0,4,3.330081300813008,1.3886053962708114,5.941380963316141,2.704332172012762,PL_Low_AD_High_zen
687,-69.2,34.8,53.8,51.59,44.71,96.56,"[8, 8, 8, 0]","[30, 30, 30, 30, 24, 30, 30, 24, 26, 26, 26, 30, 30, 24, 30, 30, 30, 24, 30, 30, 28, 30, 30, 24, 28, 24, 26, 24, 24, 24, 24, 24, 26, 30, 30, 24, 28, 24, 28, 26, 30, 24, 26, 26, 28, 28, 30, 24, 24, 30, 24, 30, 28, 26, 24, 26, 30, 30, 30, 24, 26, 26, 30, 30]",2,1.6,4,3.330081300813008,2.156699178701808,8.072989326247754,4.16725431295893,PL_Low_AD_High_zen
409,-66.9,37.1,56.1,61.66,51.78,105.3,"[12, 4, 12, 4]","[8, 8, 14, 8, 8, 8, 8, 8, 8, 10, 12, 8, 14, 8, 14, 8, 12, 14, 10, 8, 8, 8, 10, 12, 14, 12, 8, 12, 8, 8, 8, 14, 8, 8, 10, 14, 10, 14, 10, 10, 12, 10, 8, 8, 12, 10, 8, 8, 8, 8, 8, 12, 8, 12, 10, 14, 8, 12, 12, 14, 14, 12, 14, 12]",2,2.0,4,3.266347687400319,0.19839848315841288,5.855726117162171,0.3965694147538747,PL_Low_AD_High_zen
564,-70.2,33.8,52.8,43.0,37.92,78.82,"[12, 12, 4, 12]","[16, 16, 16, 16, 16, 16, 16, 32, 16, 32, 38, 16, 38, 16, 16, 32, 16, 22, 16, 22, 32, 16, 16, 16, 22, 16, 22, 32, 38, 22, 38, 16, 38, 16, 22, 32, 38, 16, 38, 32, 16, 32, 38, 22, 22, 22, 32, 16, 16, 22, 16, 38, 16, 32, 38, 32, 32, 16, 38, 38, 16, 16, 38, 16]",2,1.6,4,3.266347687400319,9.188223728180484,6.40853259390897,10.512617055680746,PL_Low_AD_High_zen
849,-75.3,28.7,47.7,44.06,36.81,50.86,"[11, 0, 11, 0]","[39, 33, 39, 39, 39, 39, 39, 39, 33, 39, 39, 33, 33, 33, 39, 33, 33, 39, 33, 39, 39, 33, 39, 33, 39, 37, 33, 33, 33, 33, 33, 33, 39, 22, 39, 22, 39, 39, 37, 39, 33, 39, 37, 39, 37, 22, 39, 39, 37, 39, 37, 39, 37, 37, 22, 37, 22, 39, 37, 22, 39, 22, 22, 22]",2,2.0,4,3.266347687400319,8.066104193176827,5.396911935614056,8.970977435207184,PL_Low_AD_High_zen
771,-70.2,33.8,52.8,41.94,35.24,55.03,"[8, 6, 8, 8]","[31, 31, 31, 31, 31, 31, 31, 31, 29, 31, 31, 31, 31, 31, 31, 27, 31, 29, 31, 25, 25, 29, 27, 31, 31, 25, 25, 31, 29, 25, 29, 25, 31, 25, 27, 29, 29, 25, 29, 31, 31, 29, 25, 31, 31, 29, 29, 31, 27, 27, 27, 27, 27, 31, 31, 29, 27, 31, 29, 25, 27, 29, 27, 27]",2,1.6,4,3.34640522875817,0.9057499312219264,5.795495506578725,1.7897740644720903,PL_Low_AD_High_zen
252,-74.3,29.7,48.7,50.15,38.96,54.67,"[12, 5, 12, 7]","[15, 56, 56, 56, 15, 15, 56, 15, 56, 15, 15, 56, 15, 56, 15, 15, 15, 15, 15, 15, 56, 56, 56, 56, 15, 15, 62, 56, 31, 31, 56, 31, 56, 56, 56, 62, 15, 31, 56, 62, 56, 62, 15, 15, 56, 62, 15, 15, 62, 31, 31, 56, 56, 15, 56, 62, 62, 31, 56, 62, 15, 31, 31, 56]",3,2.6666666666666665,4,3.351882160392799,0.205407686338392,5.50320743175805,0.41052950515667197,PL_Low_AD_High_zen
608,-66.7,37.3,56.3,43.69,39.31,139.22,"[12, 7, 12, 12]","[22, 22, 22, 22, 16, 22, 22, 22, 22, 16, 28, 16, 22, 16, 38, 16, 22, 16, 28, 38, 16, 16, 22, 16, 38, 28, 16, 22, 16, 38, 16, 22, 22, 28, 22, 16, 22, 22, 28, 28, 16, 22, 28, 22, 16, 16, 16, 16, 16, 22, 38, 16, 22, 28, 38, 28, 22, 28, 16, 16, 22, 16, 38, 38]",2,1.6,4,3.351882160392799,9.339288162940246,8.393671013309419,12.4856999766689,PL_Low_AD_High_zen
609,-65.9,38.1,57.1,45.0,39.39,210.63,"[15, 4, 15, 15]","[22, 22, 22, 22, 22, 22, 22, 22, 15, 24, 15, 30, 30, 30, 24, 22, 15, 30, 15, 30, 30, 15, 30, 22, 24, 24, 22, 22, 15, 30, 30, 30, 15, 22, 30, 22, 22, 22, 22, 22, 24, 30, 22, 24, 22, 30, 24, 30, 22, 22, 22, 22, 30, 30, 30, 22, 22, 30, 24, 30, 15, 30, 24, 30]",2,1.6,4,3.2456418383518226,11.028398746651781,5.563979971449123,9.935146966396575,PL_Low_AD_High_zen
644,-70.9,33.1,52.1,46.88,41.23,76.62,"[0, 8, 0, 8]","[39, 39, 39, 39, 39, 39, 39, 39, 39, 23, 39, 39, 39, 23, 39, 39, 39, 0, 23, 48, 48, 39, 23, 23, 23, 48, 0, 48, 39, 0, 39, 48, 39, 0, 0, 48, 23, 0, 39, 23, 23, 23, 23, 48, 39, 48, 0, 39, 23, 23, 48, 39, 39, 48, 39, 39, 39, 0, 39, 39, 23, 48, 0, 23]",2,2.0,4,3.230283911671924,5.754995144802567,6.016787399543289,8.317733893093287,PL_Low_AD_High_zen
