ue_idx,pl,snr_ul,snr_dl,c_ae,c_ue,c_bs,ue_beams,bs_beams,unique_ue_beams,n_eff_ue_beams,unique_bs_beams,n_eff_bs_beams,rho_azi,rho_zen,rho_2d_euc,case
689,-69.9,34.1,53.1,46.45,40.92,71.16,"[12, 12, 7, 12]","[32, 22, 22, 22, 22, 22, 38, 22, 38, 22, 16, 38, 38, 32, 22, 22, 16, 16, 22, 38, 32, 22, 16, 16, 16, 32, 16, 38, 38, 32, 16, 22, 16, 32, 22, 16, 22, 38, 32, 32, 32, 22, 22, 16, 16, 38, 16, 32, 16, 38, 16, 32, 16, 16, 22, 38, 22, 22, 32, 38, 32, 16, 32, 32]",2,1.6,4,3.886148007590133,1.1746202595684812,3.523944944538257,2.228690566551777,PL_Low_AD_Low_zen
724,-72.9,31.1,50.1,59.36,46.41,71.82,"[3, 3, 3, 3]","[31, 31, 31, 31, 31, 31, 31, 31, 32, 32, 31, 32, 31, 31, 38, 31, 23, 31, 23, 32, 31, 31, 31, 32, 31, 23, 32, 23, 32, 23, 32, 38, 23, 23, 23, 38, 32, 38, 38, 23, 23, 32, 23, 38, 38, 23, 31, 38, 31, 32, 38, 23, 23, 31, 38, 38, 23, 38, 38, 31, 32, 32, 38, 31]",1,1.0,4,3.813780260707635,0.4049143895298351,2.553916723448827,0.7998384134792725,PL_Low_AD_Low_zen
527,-68.8,35.2,54.2,65.62,50.62,70.75,"[11, 5, 3, 11]","[24, 8, 24, 24, 24, 8, 24, 24, 24, 8, 24, 24, 8, 24, 8, 30, 30, 24, 8, 8, 24, 18, 24, 24, 30, 24, 8, 24, 24, 30, 8, 18, 30, 30, 24, 24, 18, 30, 8, 8, 30, 8, 18, 24, 8, 18, 30, 30, 30, 24, 18, 24, 8, 8, 30, 18, 18, 30, 8, 18, 8, 18, 30, 18]",3,2.6666666666666665,4,3.757798165137615,0.6050370590702068,3.225704975495944,1.1893336750122145,PL_Low_AD_Low_zen
733,-69.2,34.8,53.8,52.73,40.15,87.09,"[10, 10, 10, 0]","[21, 21, 21, 21, 21, 21, 21, 21, 31, 31, 31, 23, 21, 21, 31, 23, 38, 23, 21, 38, 23, 23, 21, 21, 31, 23, 31, 23, 31, 21, 31, 31, 38, 21, 23, 21, 23, 31, 31, 31, 31, 31, 38, 31, 31, 23, 23, 23, 38, 38, 38, 23, 23, 21, 23, 23, 31, 21, 23, 38, 23, 21, 38, 23]",2,1.6,4,3.750915750915751,0.14277333872975495,2.599273193805953,0.28511688765083043,PL_Low_AD_Low_zen
605,-69.2,34.8,53.8,57.61,47.83,63.45,"[11, 5, 3, 11]","[23, 7, 23, 23, 23, 7, 23, 23, 32, 7, 7, 7, 23, 23, 23, 23, 7, 23, 32, 7, 32, 32, 7, 7, 38, 23, 7, 38, 23, 32, 23, 7, 32, 7, 32, 38, 7, 38, 7, 7, 7, 38, 32, 38, 7, 38, 7, 7, 38, 38, 32, 23, 38, 38, 23, 38, 32, 23, 38, 38, 7, 23, 7, 7]",3,2.6666666666666665,4,3.710144927536232,0.5765312724809404,3.512183168269448,1.1378345035230293,PL_Low_AD_Low_zen
574,-66.5,37.5,56.5,49.82,42.05,132.9,"[11, 3, 11, 1]","[7, 7, 7, 7, 7, 7, 23, 7, 7, 23, 7, 7, 23, 7, 23, 23, 7, 7, 13, 13, 13, 7, 13, 7, 7, 9, 7, 23, 13, 9, 9, 9, 7, 7, 23, 13, 23, 13, 23, 9, 13, 9, 23, 7, 9, 13, 13, 13, 13, 13, 23, 23, 7, 23, 9, 23, 7, 23, 7, 9, 13, 23, 23, 9]",3,2.6666666666666665,4,3.6768402154398565,0.10820608738862321,1.8219955030142054,0.21603153558208604,PL_Low_AD_Low_zen
693,-65.8,38.2,57.2,54.0,44.97,193.03,"[11, 11, 11, 11]","[29, 31, 29, 29, 29, 31, 29, 29, 31, 15, 31, 29, 15, 29, 29, 15, 15, 15, 15, 29, 13, 31, 29, 31, 13, 13, 13, 29, 31, 29, 29, 31, 29, 29, 15, 29, 29, 13, 31, 13, 31, 31, 13, 15, 13, 31, 31, 31, 15, 31, 31, 15, 31, 29, 13, 29, 31, 13, 31, 29, 13, 29, 15, 29]",1,1.0,4,3.618374558303887,0.10040125045621066,1.8103370370492349,0.20049439640870195,PL_Low_AD_Low_zen
567,-68.2,35.8,54.8,66.2,52.93,92.05,"[8, 0, 8, 0]","[30, 24, 24, 24, 24, 30, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 26, 24, 26, 30, 26, 24, 28, 24, 28, 28, 30, 26, 26, 26, 30, 26, 24, 28, 28, 28, 28, 30, 26, 28, 24, 30, 24, 24, 26, 28, 24, 24, 30, 30, 28, 30, 30, 24, 26, 28, 26, 26, 24, 28, 30, 30, 26, 26]",2,2.0,4,3.6119929453262785,0.6212679182614491,3.2116509331673426,1.2199208724764332,PL_Low_AD_Low_zen
652,-66.2,37.8,56.8,55.94,45.39,119.55,"[8, 8, 6, 8]","[30, 30, 30, 30, 30, 30, 30, 30, 14, 30, 14, 14, 30, 62, 62, 14, 30, 46, 46, 46, 14, 46, 62, 14, 14, 14, 62, 62, 46, 30, 46, 62, 46, 30, 30, 62, 14, 30, 62, 30, 30, 14, 30, 14, 62, 14, 30, 14, 62, 14, 14, 46, 46, 14, 30, 62, 14, 62, 14, 14, 30, 14, 30, 62]",2,1.6,4,3.6119929453262785,0.12417536760403938,2.6811566520974153,0.24808480724906148,PL_Low_AD_Low_zen
603,-69.7,34.3,53.3,44.12,38.82,66.78,"[0, 11, 0, 0]","[23, 23, 23, 23, 23, 23, 23, 32, 23, 38, 23, 23, 55, 23, 23, 23, 32, 32, 32, 32, 38, 32, 38, 32, 55, 55, 23, 32, 32, 23, 32, 38, 23, 23, 32, 23, 23, 55, 32, 32, 23, 23, 38, 55, 23, 55, 38, 55, 55, 55, 55, 38, 32, 23, 23, 32, 32, 32, 38, 38, 55, 32, 38, 38]",2,1.6,4,3.586690017513135,0.06670717517753935,3.4937088742852,0.13339003808572003,PL_Low_AD_Low_zen
