ue_idx,pl,snr_ul,snr_dl,c_ae,c_ue,c_bs,ue_beams,bs_beams,unique_ue_beams,n_eff_ue_beams,unique_bs_beams,n_eff_bs_beams,rho_azi,rho_zen,rho_2d_euc,case
816,-103.1,0.9,19.9,35.45,29.27,39.73,"[0, 2, 0, 0]","[40, 59, 59, 40, 40, 40, 40, 59, 40, 59, 59, 57, 57, 40, 57, 59, 40, 57, 59, 57, 40, 40, 40, 59, 40, 59, 57, 57, 57, 40, 40, 40, 40, 59, 59, 57, 59, 59, 40, 40, 40, 40, 59, 57, 59, 59, 40, 40, 40, 59, 57, 57, 59, 59, 40, 40, 40, 59, 57, 57, 57, 59, 40, 40]",2,1.6,3,2.8248275862068963,0.22168529642427084,0.5150018781117534,0.40724358167306,PL_Mid_AD_Low_2d_euc
621,-94.2,9.8,28.8,34.45,28.36,29.63,"[7, 5, 12, 5]","[54, 54, 54, 22, 22, 22, 22, 22, 54, 54, 54, 22, 22, 22, 22, 22, 54, 22, 54, 22, 22, 22, 22, 22, 54, 54, 54, 22, 22, 54, 22, 54, 22, 22, 22, 22, 54, 54, 54, 38, 54, 38, 22, 38, 22, 54, 54, 38, 54, 38, 22, 22, 54, 38, 54, 38, 54, 22, 54, 54, 54, 54, 38, 54]",3,2.6666666666666665,3,2.5098039215686274,0.29899289740110374,1.234387562050031,0.5811797752359747,PL_Mid_AD_Low_2d_euc
855,-101.8,2.2,21.2,34.23,28.32,38.43,"[1, 10, 1, 1]","[32, 59, 59, 32, 32, 32, 59, 59, 32, 59, 32, 32, 32, 59, 59, 59, 32, 59, 32, 32, 32, 59, 59, 59, 32, 59, 32, 32, 32, 59, 59, 59, 59, 32, 59, 32, 32, 59, 59, 57, 32, 59, 57, 32, 59, 57, 59, 59, 32, 32, 32, 59, 32, 57, 57, 57, 32, 32, 59, 57, 32, 32, 57, 32]",2,1.6,3,2.497560975609756,0.5058505056030458,1.034569102625273,0.9088751625601947,PL_Mid_AD_Low_2d_euc
817,-101.7,2.3,21.3,29.22,25.02,32.27,"[4, 4, 4, 4]","[57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 59, 59, 59, 59, 57, 59, 57, 57, 59, 59, 59, 57, 59, 57, 57, 57, 57, 59, 59, 59, 59, 59, 57, 57, 59, 59, 59, 59, 57, 59, 59, 59, 57, 59, 59, 57, 59, 59, 59, 63, 57, 57, 59, 59, 59, 59, 61, 63]",1,1.0,4,2.195069667738478,0.09704487951721735,0.6899838924756311,0.1921980501735067,PL_Mid_AD_Low_2d_euc
699,-107.1,-3.1,15.9,21.39,19.13,25.73,"[4, 13, 4, 4]","[9, 9, 9, 57, 57, 57, 57, 57, 9, 57, 57, 57, 9, 57, 9, 9, 9, 57, 9, 57, 24, 57, 9, 9, 57, 57, 9, 57, 9, 57, 9, 9, 57, 57, 9, 57, 9, 57, 57, 9, 57, 9, 57, 9, 57, 9, 57, 9, 57, 24, 57, 9, 57, 57, 9, 9, 26, 9, 57, 57, 57, 9, 57, 9]",2,1.6,4,2.1810436634717787,0.8011237529116295,0.5761891956465326,0.9355377860351375,PL_Mid_AD_Low_2d_euc
133,-80.4,23.6,42.6,35.32,28.93,45.43,"[3, 11, 3, 3]","[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 55, 7, 7, 7, 23, 7, 1, 7, 7, 7, 23, 7, 7, 55, 55, 55, 55, 55, 23, 23, 1, 7, 7, 23, 7, 7, 55, 23, 7, 1, 7, 55, 7, 23, 7, 23, 23, 55, 55, 7, 23]",2,1.6,4,2.1671957671957673,0.2077742414346621,5.169477535598043,0.41521324272496335,PL_Mid_AD_Low_2d_euc
778,-106.1,-2.1,16.9,29.84,26.16,36.03,"[10, 2, 10, 2]","[3, 18, 3, 18, 3, 18, 3, 35, 3, 35, 3, 3, 35, 3, 35, 3, 3, 3, 35, 3, 3, 3, 35, 35, 3, 35, 3, 3, 3, 3, 3, 35, 35, 35, 3, 3, 3, 3, 3, 3, 35, 35, 35, 35, 3, 3, 3, 3, 35, 35, 35, 3, 3, 3, 3, 3, 35, 35, 35, 35, 3, 3, 3, 3]",2,2.0,3,2.0337636544190665,0.30583273967040636,0.616012447587549,0.5478612611259663,PL_Mid_AD_Low_2d_euc
815,-102.5,1.5,20.5,34.84,30.19,39.92,"[5, 5, 13, 5]","[33, 51, 33, 33, 1, 1, 33, 33, 51, 33, 51, 1, 33, 33, 33, 33, 51, 33, 1, 1, 33, 33, 33, 33, 51, 33, 1, 1, 33, 33, 33, 33, 33, 33, 1, 1, 33, 33, 33, 33, 33, 33, 1, 1, 1, 33, 33, 33, 33, 33, 1, 1, 1, 33, 33, 33, 33, 33, 1, 1, 1, 33, 33, 33]",2,1.6,3,2.017733990147783,0.46414430032457565,0.8555986091351956,0.8159589511899225,PL_Mid_AD_Low_2d_euc
661,-97.8,6.2,25.2,31.5,25.1,28.81,"[6, 8, 0, 8]","[53, 53, 53, 53, 53, 55, 55, 55, 53, 53, 53, 55, 55, 55, 55, 55, 55, 55, 53, 53, 53, 55, 55, 55, 55, 55, 55, 53, 53, 53, 55, 55, 55, 55, 55, 53, 53, 53, 55, 55, 55, 55, 55, 53, 53, 55, 55, 55, 55, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 55, 55]",3,2.6666666666666665,2,2.0,0.3074328024933579,1.1034610048119031,0.5923070713565889,PL_Mid_AD_Low_2d_euc
857,-101.6,2.4,21.4,31.08,29.69,43.26,"[5, 5, 5, 5]","[56, 33, 56, 56, 33, 56, 33, 56, 33, 56, 33, 33, 33, 33, 56, 33, 56, 33, 56, 56, 56, 33, 56, 33, 56, 33, 33, 56, 56, 56, 33, 56, 56, 33, 33, 33, 33, 33, 56, 33, 56, 56, 56, 33, 56, 33, 56, 33, 33, 56, 56, 56, 33, 56, 33, 56, 33, 56, 56, 33, 33, 33, 56, 33]",1,1.0,2,2.0,0.1443493246579456,3.2419037649758646,0.28841289101688816,PL_Mid_AD_Low_2d_euc
