ue_idx,pl,snr_ul,snr_dl,c_ae,c_ue,c_bs,ue_beams,bs_beams,unique_ue_beams,n_eff_ue_beams,unique_bs_beams,n_eff_bs_beams,rho_azi,rho_zen,rho_2d_euc,case
662,-101.5,2.5,21.5,27.78,23.09,27.72,"[11, 5, 5, 5]","[38, 38, 38, 22, 22, 22, 22, 38, 38, 38, 38, 22, 22, 22, 22, 22, 38, 38, 38, 55, 55, 55, 55, 55, 55, 55, 55, 55, 38, 55, 55, 55, 55, 38, 38, 38, 38, 38, 55, 55, 55, 55, 55, 55, 53, 38, 53, 53, 38, 53, 38, 53, 38, 53, 53, 38, 53, 53, 38, 53, 38, 53, 53, 38]",2,1.6,4,3.5249569707401034,0.8018770103167053,1.7253446275913042,1.4543538234956317,PL_Mid_AD_Mid_2d_euc
135,-81.8,22.2,41.2,40.06,33.73,44.37,"[0, 8, 0, 8]","[7, 7, 23, 23, 7, 7, 7, 7, 7, 7, 23, 23, 7, 7, 55, 55, 7, 7, 23, 55, 55, 55, 55, 55, 7, 7, 55, 55, 55, 55, 55, 7, 55, 23, 7, 55, 55, 55, 55, 55, 23, 7, 23, 7, 55, 55, 55, 7, 23, 39, 55, 39, 7, 23, 55, 39, 23, 23, 55, 7, 55, 23, 39, 55]",2,2.0,4,3.1459293394777266,0.6405728527969174,3.9492279272499844,1.2646179731496903,PL_Mid_AD_Mid_2d_euc
14,-82.7,21.3,40.3,34.96,29.79,42.4,"[15, 4, 15, 15]","[63, 63, 57, 63, 63, 63, 63, 63, 57, 57, 57, 63, 63, 63, 63, 63, 63, 57, 57, 63, 63, 63, 63, 57, 63, 59, 57, 59, 63, 63, 63, 63, 63, 57, 59, 59, 57, 61, 57, 63, 61, 63, 61, 57, 63, 61, 57, 63, 63, 63, 57, 57, 59, 61, 61, 63, 57, 59, 63, 57, 59, 63, 59, 63]",2,1.6,4,2.7713125845737485,1.2024882679318907,8.952555538875547,2.3835712953746206,PL_Mid_AD_Mid_2d_euc
622,-99.7,4.3,23.3,23.57,21.28,23.62,"[8, 6, 8, 8]","[45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 41, 41, 45, 45, 45, 41, 41, 41, 41, 41, 45, 45, 45, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 45, 45, 45, 45, 41, 45, 47, 41, 47, 47, 45, 45, 41, 47, 47, 47, 41, 47, 47, 47, 45]",2,1.6,3,2.5696361355081554,1.1214664514409927,1.7583519205660056,1.8910499031875785,PL_Mid_AD_Mid_2d_euc
55,-83.5,20.5,39.5,25.12,22.01,32.55,"[3, 11, 3, 11]","[48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 0, 0, 48, 48, 0, 48, 48, 0, 48, 48, 48, 0, 0, 62, 48, 0, 62, 48, 0, 48, 48, 32, 0, 0, 48, 0, 0, 32, 32, 0, 62, 48, 48, 62, 0, 48, 32, 0, 62, 62, 0, 0, 62, 48, 48, 48, 62, 48]",2,2.0,4,2.5696361355081554,1.5566518317517517,6.228972800413968,3.0204156591192777,PL_Mid_AD_Mid_2d_euc
458,-83.2,20.8,39.8,31.12,26.12,36.36,"[12, 7, 5, 12]","[55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 7, 7, 7, 7, 55, 55, 53, 55, 39, 55, 55, 39, 39, 55, 55, 53, 39, 7, 7, 53, 55, 39, 7, 39, 53, 7, 7, 39, 55, 7, 55, 55, 39, 53, 39, 7, 39, 39]",3,2.6666666666666665,4,2.5036674816625917,1.767622201512594,3.5238163161889964,3.159966446672454,PL_Mid_AD_Mid_2d_euc
134,-80.6,23.4,42.4,32.83,27.54,44.22,"[3, 11, 3, 3]","[63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 0, 63, 63, 63, 63, 63, 0, 0, 63, 63, 48, 0, 63, 48, 48, 63, 48, 48, 0, 63, 0, 6, 48, 63, 48, 48, 0, 63, 48, 0, 0, 0, 6, 48, 6, 63, 0, 6, 0, 6, 63, 63]",2,1.6,4,2.5006105006105006,1.3404297697056768,6.4594984794811685,2.6249381451946183,PL_Mid_AD_Mid_2d_euc
137,-85.9,18.1,37.1,27.0,23.72,34.38,"[15, 4, 15, 4]","[56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 48, 56, 56, 56, 56, 56, 56, 56, 0, 56, 0, 0, 48, 56, 62, 48, 56, 0, 48, 62, 48, 56, 0, 56, 62, 0, 0, 56, 56, 56, 62, 0, 48, 62, 0, 62, 48, 56, 62, 0, 56, 56, 48, 48]",2,2.0,4,2.4468339307048983,2.1941347134261875,3.225126446870231,3.6282275998605553,PL_Mid_AD_Mid_2d_euc
13,-80.6,23.4,42.4,35.6,29.72,42.09,"[3, 5, 11, 5]","[63, 57, 63, 63, 57, 57, 57, 57, 63, 57, 63, 63, 63, 63, 57, 57, 63, 57, 63, 63, 63, 63, 63, 57, 63, 57, 63, 63, 63, 63, 63, 57, 63, 63, 63, 63, 63, 57, 57, 63, 57, 55, 63, 57, 55, 63, 63, 57, 55, 57, 63, 57, 55, 63, 63, 63, 6, 55, 63, 57, 55, 55, 6, 63]",3,2.6666666666666665,4,2.441001191895113,1.299488425700374,9.850224141396296,2.576651368845373,PL_Mid_AD_Mid_2d_euc
96,-82.7,21.3,40.3,32.48,29.0,44.74,"[0, 0, 0, 11]","[56, 56, 56, 56, 56, 56, 7, 56, 48, 48, 56, 56, 56, 56, 56, 56, 56, 48, 48, 56, 56, 56, 56, 48, 56, 56, 56, 56, 56, 48, 56, 48, 54, 56, 7, 56, 56, 56, 56, 48, 54, 56, 7, 56, 56, 56, 7, 48, 56, 48, 7, 56, 7, 56, 7, 56, 7, 7, 56, 54, 54, 48, 54, 7]",2,1.6,4,2.4236686390532545,0.6654770216729895,4.945712858888417,1.3190664902911435,PL_Mid_AD_Mid_2d_euc
