ue_idx,pl,snr_ul,snr_dl,c_ae,c_ue,c_bs,ue_beams,bs_beams,unique_ue_beams,n_eff_ue_beams,unique_bs_beams,n_eff_bs_beams,rho_azi,rho_zen,rho_2d_euc,case
538,-81.5,22.5,41.5,40.23,29.22,35.1,"[11, 5, 5, 5]","[55, 55, 55, 55, 49, 55, 49, 55, 49, 55, 55, 55, 55, 49, 49, 49, 49, 49, 55, 55, 49, 49, 55, 49, 49, 49, 55, 55, 7, 55, 55, 55, 55, 55, 53, 7, 55, 7, 7, 53, 55, 53, 55, 49, 7, 55, 7, 53, 53, 53, 49, 53, 55, 55, 7, 49, 55, 49, 53, 49, 55, 55, 53, 49]",2,1.6,4,3.075075075075075,3.174804818602348,5.04608227558985,5.374380297143323,PL_Mid_AD_High_azi
968,-85.2,18.8,37.8,29.59,27.08,40.01,"[8, 8, 8, 8]","[38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 32, 38, 38, 38, 38, 34, 32, 32, 32, 32, 38, 38, 38, 38, 32, 34, 32, 38, 38, 38, 32, 34, 36, 32, 32, 38, 32, 32, 36, 32, 34, 32, 36, 36, 38, 32, 38, 38, 34, 34, 32, 32, 36, 36, 34, 38, 34, 34, 36, 38, 38, 34]",1,1.0,4,3.0612855007473843,4.449707572393665,5.376045654488574,6.855704138399247,PL_Mid_AD_High_azi
933,-93.6,10.4,29.4,21.93,18.79,27.77,"[8, 8, 8, 8]","[31, 31, 31, 31, 29, 29, 29, 29, 31, 31, 31, 29, 29, 29, 29, 31, 31, 31, 29, 29, 29, 29, 29, 29, 31, 31, 25, 25, 25, 25, 25, 25, 29, 31, 25, 25, 25, 25, 25, 29, 31, 31, 31, 25, 25, 25, 25, 25, 29, 29, 31, 25, 25, 25, 25, 31, 31, 29, 29, 31, 25, 29, 29, 31]",1,1.0,3,2.998535871156662,3.3288246638406753,3.3670973520439067,4.73449983832707,PL_Mid_AD_High_azi
853,-80.5,23.5,42.5,41.36,36.9,45.8,"[11, 0, 11, 11]","[30, 30, 30, 30, 30, 30, 30, 30, 30, 46, 30, 46, 30, 30, 30, 30, 30, 14, 46, 46, 30, 30, 46, 46, 30, 46, 14, 46, 62, 30, 30, 30, 30, 30, 62, 14, 46, 30, 46, 62, 30, 30, 46, 14, 46, 14, 46, 46, 62, 30, 46, 46, 46, 62, 62, 46, 46, 46, 30, 62, 46, 14, 46, 14]",2,1.6,4,2.998535871156662,5.809953090324122,4.383813536232173,6.998836837820766,PL_Mid_AD_High_azi
217,-83.5,20.5,39.5,26.49,24.22,31.41,"[15, 4, 15, 4]","[48, 48, 48, 48, 48, 0, 48, 0, 0, 48, 48, 48, 48, 48, 0, 48, 0, 0, 48, 0, 48, 54, 48, 0, 48, 0, 0, 54, 0, 58, 0, 48, 58, 58, 48, 48, 48, 48, 48, 0, 0, 0, 0, 54, 0, 0, 58, 58, 0, 0, 0, 48, 48, 48, 0, 48, 48, 54, 0, 54, 48, 0, 58, 48]",2,2.0,4,2.7713125845737485,2.1001845974297195,5.275570602772875,3.902501559409771,PL_Mid_AD_High_azi
417,-82.3,21.7,40.7,31.19,26.31,36.52,"[15, 7, 15, 15]","[62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 56, 56, 62, 62, 60, 58, 58, 62, 62, 62, 60, 62, 56, 62, 56, 58, 62, 58, 62, 60, 62, 62, 62, 56, 56, 62, 56, 56, 62, 56, 56, 60, 58, 58, 56, 58, 58, 60, 60, 56, 56, 56, 58, 58, 62]",2,1.6,4,2.752688172043011,2.0463363161354393,4.182613976140007,3.676271737492101,PL_Mid_AD_High_azi
377,-81.7,22.3,41.3,28.26,24.31,32.43,"[11, 3, 11, 3]","[62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 56, 62, 62, 56, 60, 62, 58, 62, 56, 56, 56, 58, 56, 58, 56, 62, 60, 58, 56, 62, 62, 58, 58, 62, 58, 62, 60, 56, 56, 56, 62, 56, 62, 60, 56, 58, 56, 56, 58, 62, 58, 62]",2,2.0,4,2.7197875166002654,9.447238396679364,3.7277169809156865,6.935075810921634,PL_Mid_AD_High_azi
890,-82.2,21.8,40.8,31.49,26.57,43.55,"[8, 3, 8, 8]","[39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 33, 33, 33, 39, 39, 33, 35, 33, 39, 33, 33, 39, 39, 33, 37, 33, 33, 39, 39, 39, 39, 33, 37, 35, 33, 37, 33, 35, 33, 39, 37, 37, 35, 37, 39, 39, 33, 35, 37, 39, 39, 35, 33, 37]",2,1.6,4,2.708994708994709,3.5517709795607804,3.1536366226260655,4.716417370287256,PL_Mid_AD_High_azi
298,-84.9,19.1,38.1,27.18,23.94,31.81,"[12, 4, 12, 4]","[48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 54, 52, 48, 48, 48, 54, 48, 54, 48, 54, 54, 50, 48, 54, 48, 54, 54, 54, 54, 48, 48, 52, 48, 54, 52, 54, 52, 48, 48, 52, 54, 54, 50, 48, 48, 50, 48, 54, 52, 48, 54, 50, 54, 48, 48, 52, 52, 50]",2,2.0,4,2.6701434159061277,6.220695011589661,3.4335057031249203,6.012030329194437,PL_Mid_AD_High_azi
98,-86.3,17.7,36.7,34.3,31.03,40.32,"[0, 8, 0, 8]","[48, 16, 48, 16, 48, 16, 16, 16, 16, 48, 48, 48, 48, 16, 16, 16, 16, 48, 48, 48, 48, 16, 16, 16, 16, 16, 48, 48, 48, 16, 16, 16, 16, 48, 48, 48, 16, 48, 48, 48, 48, 48, 7, 48, 16, 7, 48, 16, 48, 54, 48, 16, 16, 54, 48, 16, 54, 54, 7, 16, 48, 7, 16, 48]",2,2.0,4,2.5568039950062422,4.57210724048373,14.07388223754501,8.696805376859437,PL_Mid_AD_High_azi
218,-85.8,18.2,37.2,25.46,23.12,32.3,"[12, 4, 12, 4]","[55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 0, 0, 55, 0, 55, 55, 39, 55, 7, 0, 7, 55, 0, 55, 55, 7, 55, 0, 0, 0, 39, 55, 39, 7, 55, 7, 0, 0, 0, 39, 55, 0, 55, 39, 39, 0, 39, 7, 39]",2,2.0,4,2.5006105006105006,2.1965294490075724,5.930182585575658,4.119548085167002,PL_Mid_AD_High_azi
