ue_idx,pl,snr_ul,snr_dl,c_ae,c_ue,c_bs,ue_beams,bs_beams,unique_ue_beams,n_eff_ue_beams,unique_bs_beams,n_eff_bs_beams,rho_azi,rho_zen,rho_2d_euc,case
725,-71.4,32.6,51.6,55.15,47.46,74.65,"[12, 4, 12, 12]","[31, 63, 31, 31, 31, 31, 31, 63, 63, 63, 31, 63, 47, 63, 31, 15, 47, 63, 63, 15, 31, 15, 63, 47, 15, 63, 47, 15, 47, 47, 15, 47, 63, 15, 47, 31, 47, 63, 15, 31, 47, 47, 31, 15, 31, 47, 15, 31, 31, 63, 31, 31, 31, 15, 31, 31, 31, 15, 63, 47, 63, 47, 63, 15]",2,1.6,4,3.8568738229755177,0.5747977911418941,3.801782205607857,1.1366773803560337,PL_Low_AD_Mid_zen
684,-71.9,32.1,51.1,66.41,53.38,76.11,"[15, 1, 15, 1]","[39, 0, 39, 0, 39, 0, 39, 0, 0, 39, 0, 39, 39, 0, 39, 39, 39, 23, 23, 48, 23, 23, 39, 39, 23, 48, 0, 23, 39, 39, 23, 39, 0, 0, 39, 39, 23, 39, 23, 0, 23, 23, 23, 23, 23, 23, 48, 0, 48, 48, 48, 39, 0, 48, 0, 0, 39, 48, 48, 23, 48, 0, 0, 48]",2,2.0,4,3.8424015009380863,0.631603514363135,3.8189623958050647,1.246277560002612,PL_Low_AD_Mid_zen
373,-70.3,33.7,52.7,46.53,37.51,57.86,"[11, 3, 11, 5]","[0, 0, 0, 0, 0, 0, 0, 14, 0, 14, 4, 0, 0, 0, 0, 0, 0, 14, 0, 62, 14, 14, 4, 4, 4, 62, 14, 0, 4, 0, 14, 0, 0, 62, 14, 62, 14, 62, 62, 4, 14, 4, 4, 14, 4, 4, 62, 4, 14, 0, 14, 62, 4, 14, 4, 14, 0, 4, 62, 14, 62, 14, 4, 14]",3,2.6666666666666665,4,3.757798165137615,0.14561517476886096,4.168184260967927,0.291052796222673,PL_Low_AD_Mid_zen
291,-70.8,33.2,52.2,55.51,43.04,89.35,"[3, 8, 3, 8]","[15, 15, 15, 56, 15, 15, 15, 56, 15, 15, 56, 15, 56, 15, 15, 8, 8, 8, 6, 8, 56, 15, 8, 15, 56, 8, 8, 6, 56, 6, 56, 6, 56, 6, 6, 8, 56, 6, 56, 56, 8, 15, 8, 15, 6, 56, 56, 8, 15, 8, 15, 15, 56, 8, 15, 6, 56, 6, 8, 15, 56, 15, 56, 15]",2,2.0,4,3.710144927536232,0.16875750867728048,4.551504372244326,0.3372832608711361,PL_Low_AD_Mid_zen
331,-72.0,32.0,51.0,48.99,37.87,64.71,"[12, 7, 12, 5]","[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 56, 56, 7, 56, 56, 23, 7, 23, 56, 7, 23, 56, 56, 56, 23, 7, 7, 55, 55, 56, 55, 56, 7, 56, 55, 55, 55, 56, 55, 23, 7, 23, 56, 55, 56, 23, 55, 7, 55, 55, 23, 7, 55, 7, 23, 23, 7, 56, 7, 7, 56, 23]",3,2.6666666666666665,4,3.574171029668412,0.17304910622722952,4.548610887703874,0.34584801701985807,PL_Low_AD_Mid_zen
452,-69.7,34.3,53.3,53.21,41.62,105.46,"[12, 12, 7, 12]","[7, 7, 7, 7, 7, 22, 0, 7, 7, 7, 0, 7, 7, 0, 0, 7, 6, 6, 22, 7, 7, 22, 0, 22, 22, 7, 22, 22, 22, 0, 6, 7, 6, 7, 7, 6, 22, 6, 7, 7, 0, 6, 7, 7, 0, 7, 22, 6, 0, 0, 6, 7, 0, 6, 0, 0, 0, 7, 7, 6, 0, 0, 6, 22]",2,1.6,4,3.574171029668412,0.17717230273023915,4.534831410416957,0.3540744782317251,PL_Low_AD_Mid_zen
412,-69.9,34.1,53.1,51.73,40.91,76.97,"[15, 7, 15, 9]","[14, 8, 8, 14, 8, 14, 8, 8, 14, 14, 8, 8, 14, 12, 8, 14, 14, 14, 8, 14, 8, 12, 12, 8, 14, 63, 14, 8, 8, 8, 14, 8, 14, 12, 8, 8, 63, 63, 12, 12, 8, 63, 12, 14, 63, 8, 12, 8, 8, 12, 14, 14, 12, 63, 14, 8, 63, 63, 14, 8, 12, 12, 14, 12]",3,2.6666666666666665,4,3.5249569707401034,0.1901835598877715,4.749201525866295,0.3800625016321956,PL_Low_AD_Mid_zen
334,-73.8,30.2,49.2,40.65,34.1,50.64,"[12, 4, 12, 12]","[56, 56, 56, 56, 56, 56, 56, 56, 56, 15, 56, 15, 56, 62, 15, 15, 56, 15, 62, 15, 62, 56, 15, 15, 56, 62, 56, 62, 62, 56, 62, 56, 56, 58, 58, 56, 15, 56, 62, 56, 58, 58, 58, 15, 15, 56, 15, 15, 15, 58, 15, 58, 56, 62, 15, 58, 58, 56, 62, 56, 58, 15, 15, 58]",2,1.6,4,3.500854700854701,0.19152629075722896,4.300166724228786,0.382673206221033,PL_Low_AD_Mid_zen
450,-68.3,35.7,54.7,54.33,44.22,91.12,"[11, 0, 11, 0]","[14, 16, 14, 14, 0, 16, 16, 16, 14, 0, 16, 14, 0, 14, 16, 16, 14, 10, 16, 14, 14, 0, 0, 10, 16, 16, 14, 14, 0, 14, 0, 14, 14, 16, 10, 14, 14, 10, 0, 14, 14, 16, 14, 10, 0, 10, 10, 10, 0, 16, 0, 14, 14, 16, 14, 16, 10, 0, 14, 14, 14, 0, 14, 16]",2,2.0,4,3.4653130287648053,0.1144460034812408,4.277238346432735,0.22881011488812855,PL_Low_AD_Mid_zen
374,-73.0,31.0,50.0,37.85,32.62,47.66,"[12, 12, 12, 12]","[62, 56, 56, 56, 56, 56, 56, 56, 56, 8, 56, 56, 62, 56, 56, 14, 56, 56, 8, 62, 56, 56, 62, 8, 8, 56, 56, 62, 8, 8, 62, 8, 8, 62, 14, 8, 8, 8, 56, 8, 62, 62, 62, 56, 8, 8, 8, 8, 62, 8, 14, 62, 56, 14, 14, 8, 8, 56, 62, 56, 14, 14, 62, 56]",1,1.0,4,3.4653130287648053,0.1442424592936658,3.6986620217210247,0.2882657920279918,PL_Low_AD_Mid_zen
