ue_idx,pl,snr_ul,snr_dl,c_ae,c_ue,c_bs,ue_beams,bs_beams,unique_ue_beams,n_eff_ue_beams,unique_bs_beams,n_eff_bs_beams,rho_azi,rho_zen,rho_2d_euc,case
14,-82.7,21.3,40.3,34.96,29.79,42.4,"[15, 4, 15, 15]","[63, 63, 57, 63, 63, 63, 63, 63, 57, 57, 57, 63, 63, 63, 63, 63, 63, 57, 57, 63, 63, 63, 63, 57, 63, 59, 57, 59, 63, 63, 63, 63, 63, 57, 59, 59, 57, 61, 57, 63, 61, 63, 61, 57, 63, 61, 57, 63, 63, 63, 57, 57, 59, 61, 61, 63, 57, 59, 63, 57, 59, 63, 59, 63]",2,1.6,4,2.7713125845737485,1.2024882679318907,8.952555538875547,2.3835712953746206,PL_Mid_AD_High_zen
55,-83.5,20.5,39.5,25.12,22.01,32.55,"[3, 11, 3, 11]","[48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 0, 0, 48, 48, 0, 48, 48, 0, 48, 48, 48, 0, 0, 62, 48, 0, 62, 48, 0, 48, 48, 32, 0, 0, 48, 0, 0, 32, 32, 0, 62, 48, 48, 62, 0, 48, 32, 0, 62, 62, 0, 0, 62, 48, 48, 48, 62, 48]",2,2.0,4,2.5696361355081554,1.5566518317517517,6.228972800413968,3.0204156591192777,PL_Mid_AD_High_zen
98,-86.3,17.7,36.7,34.3,31.03,40.32,"[0, 8, 0, 8]","[48, 16, 48, 16, 48, 16, 16, 16, 16, 48, 48, 48, 48, 16, 16, 16, 16, 48, 48, 48, 48, 16, 16, 16, 16, 16, 48, 48, 48, 16, 16, 16, 16, 48, 48, 48, 16, 48, 48, 48, 48, 48, 7, 48, 16, 7, 48, 16, 48, 54, 48, 16, 16, 54, 48, 16, 54, 54, 7, 16, 48, 7, 16, 48]",2,2.0,4,2.5568039950062422,4.57210724048373,14.07388223754501,8.696805376859437,PL_Mid_AD_High_zen
218,-85.8,18.2,37.2,25.46,23.12,32.3,"[12, 4, 12, 4]","[55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 0, 0, 55, 0, 55, 55, 39, 55, 7, 0, 7, 55, 0, 55, 55, 7, 55, 0, 0, 0, 39, 55, 39, 7, 55, 7, 0, 0, 0, 39, 55, 0, 55, 39, 39, 0, 39, 7, 39]",2,2.0,4,2.5006105006105006,2.1965294490075724,5.930182585575658,4.119548085167002,PL_Mid_AD_High_zen
134,-80.6,23.4,42.4,32.83,27.54,44.22,"[3, 11, 3, 3]","[63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 0, 63, 63, 63, 63, 63, 0, 0, 63, 63, 48, 0, 63, 48, 48, 63, 48, 48, 0, 63, 0, 6, 48, 63, 48, 48, 0, 63, 48, 0, 0, 0, 6, 48, 6, 63, 0, 6, 0, 6, 63, 63]",2,1.6,4,2.5006105006105006,1.3404297697056768,6.4594984794811685,2.6249381451946183,PL_Mid_AD_High_zen
13,-80.6,23.4,42.4,35.6,29.72,42.09,"[3, 5, 11, 5]","[63, 57, 63, 63, 57, 57, 57, 57, 63, 57, 63, 63, 63, 63, 57, 57, 63, 57, 63, 63, 63, 63, 63, 57, 63, 57, 63, 63, 63, 63, 63, 57, 63, 63, 63, 63, 63, 57, 57, 63, 57, 55, 63, 57, 55, 63, 63, 57, 55, 57, 63, 57, 55, 63, 63, 63, 6, 55, 63, 57, 55, 55, 6, 63]",3,2.6666666666666665,4,2.441001191895113,1.299488425700374,9.850224141396296,2.576651368845373,PL_Mid_AD_High_zen
94,-81.8,22.2,41.2,30.95,26.96,41.04,"[0, 8, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 23, 0, 55, 55, 23, 0, 0, 0, 23, 0, 0, 55, 55, 55, 55, 0, 0, 6, 0, 6, 55, 55, 0, 0, 23, 23, 0, 6, 23, 0, 23, 0, 0, 23, 55, 23, 55, 23, 6]",2,1.6,4,2.3299203640500568,0.83220198777522,5.793342434419085,1.6474929703148369,PL_Mid_AD_High_zen
893,-88.1,15.9,34.9,24.0,20.71,32.36,"[6, 6, 6, 6]","[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 38, 30, 30, 30, 30, 30, 38, 30, 38, 38, 30, 30, 30, 38, 30, 30, 38, 62, 30, 30, 45, 30, 45, 38, 38, 38, 45, 30, 38, 45, 30, 38, 45, 45, 38, 62, 38, 30, 38, 30, 62, 30, 62, 38, 30]",1,1.0,4,2.278086763070078,8.574103301037912,9.289106212010392,12.60086976347942,PL_Mid_AD_High_zen
1087,-93.6,10.4,29.4,19.08,16.91,23.91,"[8, 8, 8, 0]","[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 24, 30, 30, 24, 30, 24, 24, 24, 24, 30, 30, 30, 24, 24, 30, 24, 30, 30, 30, 24, 24, 24, 30, 30, 24, 24, 40, 24, 24, 24, 24, 24, 24, 40, 24, 30, 40, 24, 30, 24, 24, 24, 24, 40, 30, 24, 24]",2,1.6,3,2.245614035087719,12.02198829383195,11.032370397186773,16.256885137594708,PL_Mid_AD_High_zen
928,-82.3,21.7,40.7,40.32,34.27,50.41,"[11, 5, 11, 5]","[38, 32, 38, 32, 38, 38, 32, 38, 32, 32, 38, 32, 32, 38, 32, 38, 32, 32, 32, 32, 32, 38, 32, 32, 32, 38, 32, 32, 32, 32, 32, 38, 32, 32, 32, 32, 26, 32, 32, 36, 32, 36, 32, 32, 38, 32, 38, 32, 32, 26, 38, 36, 38, 38, 38, 32, 38, 38, 32, 38, 38, 32, 32, 26]",2,2.0,4,2.2407002188183807,7.580140027171129,6.0976251849447705,9.50236269155985,PL_Mid_AD_High_zen
