ue_idx,pl,snr_ul,snr_dl,c_ae,c_ue,c_bs,ue_beams,bs_beams,unique_ue_beams,n_eff_ue_beams,unique_bs_beams,n_eff_bs_beams,rho_azi,rho_zen,rho_2d_euc,case
399,-115.8,-11.8,7.2,14.75,14.43,23.87,"[0, 0, 0, 0]","[39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 25, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 25, 39, 39, 39, 39, 39, 39, 39, 25, 39, 39, 39, 39, 39, 39, 39]",1,1.0,2,1.098123324396783,3.7250858835833296,7.222711788432403,6.621409449327421,PL_High_AD_High_2d_euc
397,-113.4,-9.4,9.6,15.46,13.56,22.41,"[3, 3, 3, 3]","[47, 47, 47, 24, 24, 24, 24, 24, 47, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24]",1,1.0,2,1.1327433628318584,2.7186828008270165,4.54706059091045,4.666822777883586,PL_High_AD_High_2d_euc
551,-113.2,-9.2,9.8,12.18,9.8,16.08,"[3, 3, 3, 3]","[39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 40, 39, 39, 39, 39, 39, 39, 39]",1,1.0,2,1.0317380352644836,7.290503126673455,5.127149457000525,8.387766328019197,PL_High_AD_High_2d_euc
746,-119.2,-15.2,3.8,8.7,8.74,15.5,"[5, 5, 5, 5]","[24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 30, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24]",1,1.0,2,1.0317380352644836,2.7740827388929996,6.657237970915084,5.121319719280221,PL_High_AD_High_2d_euc
274,-109.4,-5.4,13.6,12.34,11.77,21.93,"[0, 0, 0, 0]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]",1,1.0,1,1.0,2.567627869261688,4.382798455790665,4.430879725169535,PL_High_AD_High_2d_euc
275,-109.7,-5.7,13.3,12.38,11.54,20.02,"[15, 15, 15, 15]","[47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47]",1,1.0,1,1.0,3.467052780549242,6.971265083935078,6.208657337616074,PL_High_AD_High_2d_euc
279,-114.6,-10.6,8.4,13.51,11.7,22.52,"[12, 12, 4, 4]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]",2,2.0,1,1.0,3.2469797281261625,6.555808299366563,5.819312519371189,PL_High_AD_High_2d_euc
280,-116.1,-12.1,6.9,12.49,10.48,20.97,"[12, 12, 5, 5]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]",2,2.0,1,1.0,3.8167342462949962,9.099920209045505,7.039365546658799,PL_High_AD_High_2d_euc
308,-116.1,-12.1,6.9,9.57,9.94,16.44,"[4, 4, 4, 4]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]",1,1.0,1,1.0,11.880731347063055,3.4620745516596823,6.647655018632862,PL_High_AD_High_2d_euc
320,-113.2,-9.2,9.8,18.99,15.89,32.83,"[1, 1, 15, 1]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]",2,1.6,1,1.0,2.18741184456061,8.54966517970911,4.238306717228646,PL_High_AD_High_2d_euc
