ue_idx,pl,snr_ul,snr_dl,c_ae,c_ue,c_bs,ue_beams,bs_beams,unique_ue_beams,n_eff_ue_beams,unique_bs_beams,n_eff_bs_beams,rho_azi,rho_zen,rho_2d_euc,case
1061,-113.5,-9.5,9.5,15.91,15.38,23.9,"[5, 5, 5, 5]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 26, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 26, 25, 25, 25, 25, 25, 9, 9, 9, 9, 9, 9]",1,1.0,3,1.2896725440806045,0.3722540109729957,3.282974465696798,0.7397675695107654,PL_High_AD_Low_2d_euc
868,-120.4,-16.4,2.6,8.33,8.66,15.35,"[4, 4, 4, 4]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 16, 32, 32, 32, 16, 32, 32, 32, 32, 32, 32, 32, 16, 32, 32, 16, 16, 32, 32, 32, 32, 32, 32, 16, 16, 32, 32, 32, 32, 32, 32, 16, 16, 32, 32, 32, 32, 32, 32, 16, 16, 16, 32, 32]",1,1.0,2,1.4382022471910112,0.20121547438184315,1.508467761831869,0.39889778938637144,PL_High_AD_Low_2d_euc
980,-114.0,-10.0,9.0,15.27,15.03,22.62,"[5, 5, 5, 5]","[26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 28, 30, 26, 26, 24, 24, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26]",1,1.0,4,1.1358846367165836,0.4470949131304059,2.4050164828906886,0.8791278865897076,PL_High_AD_Low_2d_euc
1021,-122.1,-18.1,0.9,11.54,10.09,18.31,"[9, 9, 9, 9]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 58, 10, 10, 10, 10, 8, 10, 10, 10, 8, 10, 10, 10, 10, 10, 10, 8, 10, 10, 10, 10, 10, 10, 10]",1,1.0,3,1.1346260387811635,0.3925155934147258,2.900187707869199,0.7779386481392302,PL_High_AD_Low_2d_euc
1188,-108.8,-4.8,14.2,13.92,14.56,21.66,"[0, 0, 0, 0]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 16, 32, 32, 16, 16, 32, 16, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]",1,1.0,2,1.1327433628318584,0.24314204746147078,4.103590282001196,0.4854327401896008,PL_High_AD_Low_2d_euc
785,-115.1,-11.1,7.9,14.54,13.84,21.63,"[5, 5, 5, 5]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 57, 57, 57, 57, 25, 25, 57, 57, 57, 57, 57, 25, 25, 25, 57, 57, 57, 57, 25, 25]",1,1.0,2,1.4787003610108302,0.21634303866617915,1.649295742634759,0.42901096216656465,PL_High_AD_Low_2d_euc
949,-118.2,-14.2,4.8,11.94,10.99,18.19,"[1, 1, 1, 1]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 57, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 16, 25, 25, 25, 25, 25, 25, 25, 16]",1,1.0,3,1.099302200751476,0.25085704741754816,2.567798164881926,0.49933691529218127,PL_High_AD_Low_2d_euc
977,-115.2,-11.2,7.8,13.08,11.4,15.97,"[0, 0, 8, 8]","[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 18, 16, 16, 16, 16, 16, 16, 16, 18, 16, 18, 16]",2,2.0,2,1.098123324396783,0.42491114866099067,2.1401119834536506,0.8335515461817645,PL_High_AD_Low_2d_euc
467,-122.1,-18.1,0.9,10.77,10.11,19.51,"[1, 1, 1, 1]","[24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 40, 40, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24]",1,1.0,2,1.0644490644490645,0.41098038338114956,3.4315427852195732,0.8161284270139654,PL_High_AD_Low_2d_euc
821,-114.4,-10.4,8.6,16.04,13.61,20.97,"[9, 9, 9, 9]","[43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 27, 27, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43]",1,1.0,2,1.0644490644490645,0.21830687557535813,1.087026477915513,0.4280665943751301,PL_High_AD_Low_2d_euc
