ue_idx,pl,snr_ul,snr_dl,c_ae,c_ue,c_bs,ue_beams,bs_beams,unique_ue_beams,n_eff_ue_beams,unique_bs_beams,n_eff_bs_beams,rho_azi,rho_zen,rho_2d_euc,case
1064,-113.3,-9.3,9.7,15.71,16.0,27.99,"[4, 4, 4, 4]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 25, 9, 9, 9, 9, 9, 9, 17, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 17, 9, 9, 9, 9, 9, 17, 17, 9, 9, 17, 9, 9, 17, 9]",1,1.0,3,1.2465003043213634,1.520298609895119,3.306908632487147,2.7626323897524103,PL_High_AD_Mid_azi
787,-119.4,-15.4,3.6,8.81,8.98,15.85,"[5, 5, 5, 5]","[33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 16, 33, 33, 33, 33, 33, 33, 16, 16, 16, 33, 33, 33]",1,1.0,2,1.1327433628318584,1.8313945467345372,5.268068163319956,3.4596916034289573,PL_High_AD_Mid_azi
1142,-116.1,-12.1,6.9,11.65,11.95,19.55,"[4, 4, 4, 4]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 26, 10, 8, 10, 8, 10, 8, 10, 10, 10, 8, 26, 26, 26, 10, 10, 10, 10, 10, 10, 10, 10]",1,1.0,3,1.292929292929293,1.1622815491296001,2.9789169078308126,2.1655657593464883,PL_High_AD_Mid_azi
1098,-121.6,-17.6,1.4,8.38,7.42,13.74,"[8, 8, 8, 8]","[57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 42, 57, 57, 57, 57, 57, 57, 57, 59, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57]",1,1.0,3,1.0650026001040043,1.5101303841063989,5.466930020065716,2.911234284917306,PL_High_AD_Mid_azi
1382,-110.1,-6.1,12.9,13.6,14.25,23.1,"[1, 1, 1, 1]","[24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 32, 16, 24, 24, 24, 24, 24]",1,1.0,3,1.0650026001040043,1.5168343192156013,7.003058617313816,2.9649179278623525,PL_High_AD_Mid_azi
237,-109.8,-5.8,13.2,19.89,20.1,32.19,"[0, 0, 0, 0]","[40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 24, 40, 40, 40, 40, 40, 40, 40, 24, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40]",1,1.0,2,1.0644490644490645,1.0637375043097435,5.100857973814629,2.082670021673459,PL_High_AD_Mid_azi
745,-119.2,-15.2,3.8,8.44,9.01,14.51,"[5, 5, 5, 5]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 32, 17, 17, 17, 17, 17, 17, 17, 32, 17, 17, 17, 17]",1,1.0,2,1.0644490644490645,0.6806149841275023,2.6342791743431246,1.317951095454348,PL_High_AD_Mid_azi
1384,-109.2,-5.2,13.8,13.3,15.05,24.07,"[4, 4, 4, 4]","[24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 40, 40, 40, 24, 24, 24, 40, 40, 40, 40, 40, 24, 24, 24, 24, 40, 40]",1,1.0,2,1.3580901856763925,0.550145575874874,9.127991174011505,1.0982981795625175,PL_High_AD_Mid_azi
903,-109.3,-5.3,13.7,17.83,15.71,24.18,"[8, 8, 8, 8]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 27, 17, 17, 17, 17, 17, 17, 17, 27, 17, 17, 17, 17, 17, 17, 17, 27, 17, 17, 17, 17, 17, 17, 17, 27, 17, 17, 17, 17, 17, 17, 17, 33, 27, 17, 17, 17, 27, 27, 27, 17, 27, 17, 17, 17, 17, 17, 17]",1,1.0,3,1.3662441627751833,1.233734023264741,1.8178522076337396,2.0416701200005574,PL_High_AD_Mid_azi
942,-112.6,-8.6,10.4,16.04,13.91,24.6,"[8, 8, 8, 8]","[18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 24, 18, 18]",1,1.0,2,1.0317380352644836,0.9169838639665742,1.6536318161517993,1.6038759181457063,PL_High_AD_Mid_azi
