ue_idx,pl,snr_ul,snr_dl,c_ae,c_ue,c_bs,ue_beams,bs_beams,unique_ue_beams,n_eff_ue_beams,unique_bs_beams,n_eff_bs_beams,rho_azi,rho_zen,rho_2d_euc,case
724,-72.9,31.1,50.1,59.36,46.41,71.82,"[3, 3, 3, 3]","[31, 31, 31, 31, 31, 31, 31, 31, 32, 32, 31, 32, 31, 31, 38, 31, 23, 31, 23, 32, 31, 31, 31, 32, 31, 23, 32, 23, 32, 23, 32, 38, 23, 23, 23, 38, 32, 38, 38, 23, 23, 32, 23, 38, 38, 23, 31, 38, 31, 32, 38, 23, 23, 31, 38, 38, 23, 38, 38, 31, 32, 32, 38, 31]",1,1.0,4,3.813780260707635,0.4049143895298351,2.553916723448827,0.7998384134792725,PL_Low_AD_Low_azi
373,-70.3,33.7,52.7,46.53,37.51,57.86,"[11, 3, 11, 5]","[0, 0, 0, 0, 0, 0, 0, 14, 0, 14, 4, 0, 0, 0, 0, 0, 0, 14, 0, 62, 14, 14, 4, 4, 4, 62, 14, 0, 4, 0, 14, 0, 0, 62, 14, 62, 14, 62, 62, 4, 14, 4, 4, 14, 4, 4, 62, 4, 14, 0, 14, 62, 4, 14, 4, 14, 0, 4, 62, 14, 62, 14, 4, 14]",3,2.6666666666666665,4,3.757798165137615,0.14561517476886096,4.168184260967927,0.291052796222673,PL_Low_AD_Low_azi
733,-69.2,34.8,53.8,52.73,40.15,87.09,"[10, 10, 10, 0]","[21, 21, 21, 21, 21, 21, 21, 21, 31, 31, 31, 23, 21, 21, 31, 23, 38, 23, 21, 38, 23, 23, 21, 21, 31, 23, 31, 23, 31, 21, 31, 31, 38, 21, 23, 21, 23, 31, 31, 31, 31, 31, 38, 31, 31, 23, 23, 23, 38, 38, 38, 23, 23, 21, 23, 23, 31, 21, 23, 38, 23, 21, 38, 23]",2,1.6,4,3.750915750915751,0.14277333872975495,2.599273193805953,0.28511688765083043,PL_Low_AD_Low_azi
291,-70.8,33.2,52.2,55.51,43.04,89.35,"[3, 8, 3, 8]","[15, 15, 15, 56, 15, 15, 15, 56, 15, 15, 56, 15, 56, 15, 15, 8, 8, 8, 6, 8, 56, 15, 8, 15, 56, 8, 8, 6, 56, 6, 56, 6, 56, 6, 6, 8, 56, 6, 56, 56, 8, 15, 8, 15, 6, 56, 56, 8, 15, 8, 15, 15, 56, 8, 15, 6, 56, 6, 8, 15, 56, 15, 56, 15]",2,2.0,4,3.710144927536232,0.16875750867728048,4.551504372244326,0.3372832608711361,PL_Low_AD_Low_azi
574,-66.5,37.5,56.5,49.82,42.05,132.9,"[11, 3, 11, 1]","[7, 7, 7, 7, 7, 7, 23, 7, 7, 23, 7, 7, 23, 7, 23, 23, 7, 7, 13, 13, 13, 7, 13, 7, 7, 9, 7, 23, 13, 9, 9, 9, 7, 7, 23, 13, 23, 13, 23, 9, 13, 9, 23, 7, 9, 13, 13, 13, 13, 13, 23, 23, 7, 23, 9, 23, 7, 23, 7, 9, 13, 23, 23, 9]",3,2.6666666666666665,4,3.6768402154398565,0.10820608738862321,1.8219955030142054,0.21603153558208604,PL_Low_AD_Low_azi
693,-65.8,38.2,57.2,54.0,44.97,193.03,"[11, 11, 11, 11]","[29, 31, 29, 29, 29, 31, 29, 29, 31, 15, 31, 29, 15, 29, 29, 15, 15, 15, 15, 29, 13, 31, 29, 31, 13, 13, 13, 29, 31, 29, 29, 31, 29, 29, 15, 29, 29, 13, 31, 13, 31, 31, 13, 15, 13, 31, 31, 31, 15, 31, 31, 15, 31, 29, 13, 29, 31, 13, 31, 29, 13, 29, 15, 29]",1,1.0,4,3.618374558303887,0.10040125045621066,1.8103370370492349,0.20049439640870195,PL_Low_AD_Low_azi
652,-66.2,37.8,56.8,55.94,45.39,119.55,"[8, 8, 6, 8]","[30, 30, 30, 30, 30, 30, 30, 30, 14, 30, 14, 14, 30, 62, 62, 14, 30, 46, 46, 46, 14, 46, 62, 14, 14, 14, 62, 62, 46, 30, 46, 62, 46, 30, 30, 62, 14, 30, 62, 30, 30, 14, 30, 14, 62, 14, 30, 14, 62, 14, 14, 46, 46, 14, 30, 62, 14, 62, 14, 14, 30, 14, 30, 62]",2,1.6,4,3.6119929453262785,0.12417536760403938,2.6811566520974153,0.24808480724906148,PL_Low_AD_Low_azi
603,-69.7,34.3,53.3,44.12,38.82,66.78,"[0, 11, 0, 0]","[23, 23, 23, 23, 23, 23, 23, 32, 23, 38, 23, 23, 55, 23, 23, 23, 32, 32, 32, 32, 38, 32, 38, 32, 55, 55, 23, 32, 32, 23, 32, 38, 23, 23, 32, 23, 23, 55, 32, 32, 23, 23, 38, 55, 23, 55, 38, 55, 55, 55, 55, 38, 32, 23, 23, 32, 32, 32, 38, 38, 55, 32, 38, 38]",2,1.6,4,3.586690017513135,0.06670717517753935,3.4937088742852,0.13339003808572003,PL_Low_AD_Low_azi
656,-72.6,31.4,50.4,38.21,32.98,79.4,"[6, 4, 6, 6]","[13, 13, 13, 13, 13, 13, 14, 13, 13, 14, 14, 14, 14, 14, 13, 61, 61, 13, 61, 61, 14, 13, 13, 61, 13, 29, 61, 29, 14, 13, 14, 61, 61, 14, 14, 29, 29, 14, 13, 61, 61, 14, 13, 61, 29, 13, 29, 13, 13, 14, 61, 14, 13, 29, 61, 29, 13, 14, 13, 14, 61, 14, 14, 14]",2,1.6,4,3.5804195804195804,0.09710843527903375,0.7199281734599605,0.19247379939231193,PL_Low_AD_Low_azi
331,-72.0,32.0,51.0,48.99,37.87,64.71,"[12, 7, 12, 5]","[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 56, 56, 7, 56, 56, 23, 7, 23, 56, 7, 23, 56, 56, 56, 23, 7, 7, 55, 55, 56, 55, 56, 7, 56, 55, 55, 55, 56, 55, 23, 7, 23, 56, 55, 56, 23, 55, 7, 55, 55, 23, 7, 55, 7, 23, 23, 7, 56, 7, 7, 56, 23]",3,2.6666666666666665,4,3.574171029668412,0.17304910622722952,4.548610887703874,0.34584801701985807,PL_Low_AD_Low_azi
