ue_idx,pl,snr_ul,snr_dl,c_ae,c_ue,c_bs,ue_beams,bs_beams,unique_ue_beams,n_eff_ue_beams,unique_bs_beams,n_eff_bs_beams,rho_azi,rho_zen,rho_2d_euc,case
399,-115.8,-11.8,7.2,14.75,14.43,23.87,"[0, 0, 0, 0]","[39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 25, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 25, 39, 39, 39, 39, 39, 39, 39, 25, 39, 39, 39, 39, 39, 39, 39]",1,1.0,2,1.098123324396783,3.7250858835833296,7.222711788432403,6.621409449327421,PL_High_AD_High_zen
1098,-121.6,-17.6,1.4,8.38,7.42,13.74,"[8, 8, 8, 8]","[57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 42, 57, 57, 57, 57, 57, 57, 57, 59, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57]",1,1.0,3,1.0650026001040043,1.5101303841063989,5.466930020065716,2.911234284917306,PL_High_AD_High_zen
1382,-110.1,-6.1,12.9,13.6,14.25,23.1,"[1, 1, 1, 1]","[24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 32, 16, 24, 24, 24, 24, 24]",1,1.0,3,1.0650026001040043,1.5168343192156013,7.003058617313816,2.9649179278623525,PL_High_AD_High_zen
309,-114.7,-10.7,8.3,12.42,12.04,21.03,"[5, 5, 5, 5]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 34, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]",1,1.0,2,1.0317380352644836,0.4519851912289041,8.356742592933545,0.9026510720068042,PL_High_AD_High_zen
746,-119.2,-15.2,3.8,8.7,8.74,15.5,"[5, 5, 5, 5]","[24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 30, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24]",1,1.0,2,1.0317380352644836,2.7740827388929996,6.657237970915084,5.121319719280221,PL_High_AD_High_zen
275,-109.7,-5.7,13.3,12.38,11.54,20.02,"[15, 15, 15, 15]","[47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47]",1,1.0,1,1.0,3.467052780549242,6.971265083935078,6.208657337616074,PL_High_AD_High_zen
278,-112.1,-8.1,10.9,20.21,16.77,33.34,"[15, 5, 5, 5]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]",2,1.6,1,1.0,1.3894135882666636,5.547085836887071,2.6955559751916733,PL_High_AD_High_zen
279,-114.6,-10.6,8.4,13.51,11.7,22.52,"[12, 12, 4, 4]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]",2,2.0,1,1.0,3.2469797281261625,6.555808299366563,5.819312519371189,PL_High_AD_High_zen
280,-116.1,-12.1,6.9,12.49,10.48,20.97,"[12, 12, 5, 5]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]",2,2.0,1,1.0,3.8167342462949962,9.099920209045505,7.039365546658799,PL_High_AD_High_zen
320,-113.2,-9.2,9.8,18.99,15.89,32.83,"[1, 1, 15, 1]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]",2,1.6,1,1.0,2.18741184456061,8.54966517970911,4.238306717228646,PL_High_AD_High_zen
