ue_idx,pl,snr_ul,snr_dl,c_ae,c_ue,c_bs,ue_beams,bs_beams,unique_ue_beams,n_eff_ue_beams,unique_bs_beams,n_eff_bs_beams,rho_azi,rho_zen,rho_2d_euc,case
904,-109.4,-5.4,13.6,14.56,13.76,23.04,"[4, 4, 4, 4]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 29, 17, 17, 17, 17, 17, 17, 17, 17, 17, 33, 17, 17, 17, 17, 17, 17, 17, 33, 33, 27, 17, 17, 17, 27, 33, 27, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]",1,1.0,4,1.295382669196711,3.111940350763741,2.6660396938830835,4.049276459931902,PL_High_AD_Low_zen
1142,-116.1,-12.1,6.9,11.65,11.95,19.55,"[4, 4, 4, 4]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 26, 10, 8, 10, 8, 10, 8, 10, 10, 10, 8, 26, 26, 26, 10, 10, 10, 10, 10, 10, 10, 10]",1,1.0,3,1.292929292929293,1.1622815491296001,2.9789169078308126,2.1655657593464883,PL_High_AD_Low_zen
1061,-113.5,-9.5,9.5,15.91,15.38,23.9,"[5, 5, 5, 5]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 26, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 26, 25, 25, 25, 25, 25, 9, 9, 9, 9, 9, 9]",1,1.0,3,1.2896725440806045,0.3722540109729957,3.282974465696798,0.7397675695107654,PL_High_AD_Low_zen
1064,-113.3,-9.3,9.7,15.71,16.0,27.99,"[4, 4, 4, 4]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 25, 9, 9, 9, 9, 9, 9, 17, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 17, 9, 9, 9, 9, 9, 17, 17, 9, 9, 17, 9, 9, 17, 9]",1,1.0,3,1.2465003043213634,1.520298609895119,3.306908632487147,2.7626323897524103,PL_High_AD_Low_zen
903,-109.3,-5.3,13.7,17.83,15.71,24.18,"[8, 8, 8, 8]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 27, 17, 17, 17, 17, 17, 17, 17, 27, 17, 17, 17, 17, 17, 17, 17, 27, 17, 17, 17, 17, 17, 17, 17, 27, 17, 17, 17, 17, 17, 17, 17, 33, 27, 17, 17, 17, 27, 27, 27, 17, 27, 17, 17, 17, 17, 17, 17]",1,1.0,3,1.3662441627751833,1.233734023264741,1.8178522076337396,2.0416701200005574,PL_High_AD_Low_zen
1062,-115.2,-11.2,7.8,12.62,12.27,21.83,"[9, 9, 9, 9]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 1, 1, 17, 17, 17, 17, 1, 1, 17, 17, 17, 17, 17, 1, 1, 17, 1, 1, 17, 17, 17, 17, 17, 1, 1, 17, 17, 17, 17, 17, 17, 17, 1, 17, 17, 17]",1,1.0,2,1.3979522184300341,1.514459791818534,2.764477713140664,2.6564195835652047,PL_High_AD_Low_zen
868,-120.4,-16.4,2.6,8.33,8.66,15.35,"[4, 4, 4, 4]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 16, 32, 32, 32, 16, 32, 32, 32, 32, 32, 32, 32, 16, 32, 32, 16, 16, 32, 32, 32, 32, 32, 32, 16, 16, 32, 32, 32, 32, 32, 32, 16, 16, 32, 32, 32, 32, 32, 32, 16, 16, 16, 32, 32]",1,1.0,2,1.4382022471910112,0.20121547438184315,1.508467761831869,0.39889778938637144,PL_High_AD_Low_zen
980,-114.0,-10.0,9.0,15.27,15.03,22.62,"[5, 5, 5, 5]","[26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 28, 30, 26, 26, 24, 24, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26]",1,1.0,4,1.1358846367165836,0.4470949131304059,2.4050164828906886,0.8791278865897076,PL_High_AD_Low_zen
1021,-122.1,-18.1,0.9,11.54,10.09,18.31,"[9, 9, 9, 9]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 58, 10, 10, 10, 10, 8, 10, 10, 10, 8, 10, 10, 10, 10, 10, 10, 8, 10, 10, 10, 10, 10, 10, 10]",1,1.0,3,1.1346260387811635,0.3925155934147258,2.900187707869199,0.7779386481392302,PL_High_AD_Low_zen
785,-115.1,-11.1,7.9,14.54,13.84,21.63,"[5, 5, 5, 5]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 57, 57, 57, 57, 25, 25, 57, 57, 57, 57, 57, 25, 25, 25, 57, 57, 57, 57, 25, 25]",1,1.0,2,1.4787003610108302,0.21634303866617915,1.649295742634759,0.42901096216656465,PL_High_AD_Low_zen
949,-118.2,-14.2,4.8,11.94,10.99,18.19,"[1, 1, 1, 1]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 57, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 16, 25, 25, 25, 25, 25, 25, 25, 16]",1,1.0,3,1.099302200751476,0.25085704741754816,2.567798164881926,0.49933691529218127,PL_High_AD_Low_zen
977,-115.2,-11.2,7.8,13.08,11.4,15.97,"[0, 0, 8, 8]","[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 18, 16, 16, 16, 16, 16, 16, 16, 18, 16, 18, 16]",2,2.0,2,1.098123324396783,0.42491114866099067,2.1401119834536506,0.8335515461817645,PL_High_AD_Low_zen
467,-122.1,-18.1,0.9,10.77,10.11,19.51,"[1, 1, 1, 1]","[24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 40, 40, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24]",1,1.0,2,1.0644490644490645,0.41098038338114956,3.4315427852195732,0.8161284270139654,PL_High_AD_Low_zen
745,-119.2,-15.2,3.8,8.44,9.01,14.51,"[5, 5, 5, 5]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 32, 17, 17, 17, 17, 17, 17, 17, 32, 17, 17, 17, 17]",1,1.0,2,1.0644490644490645,0.6806149841275023,2.6342791743431246,1.317951095454348,PL_High_AD_Low_zen
