ue_idx,pl,snr_ul,snr_dl,c_ae,c_ue,c_bs,ue_beams,bs_beams,unique_ue_beams,n_eff_ue_beams,unique_bs_beams,n_eff_bs_beams,rho_azi,rho_zen,rho_2d_euc,case
933,-93.6,10.4,29.4,21.93,18.79,27.77,"[8, 8, 8, 8]","[31, 31, 31, 31, 29, 29, 29, 29, 31, 31, 31, 29, 29, 29, 29, 31, 31, 31, 29, 29, 29, 29, 29, 29, 31, 31, 25, 25, 25, 25, 25, 25, 29, 31, 25, 25, 25, 25, 25, 29, 31, 31, 31, 25, 25, 25, 25, 25, 29, 29, 31, 25, 25, 25, 25, 31, 31, 29, 29, 31, 25, 29, 29, 31]",1,1.0,3,2.998535871156662,3.3288246638406753,3.3670973520439067,4.73449983832707,PL_Mid_AD_Low_zen
816,-103.1,0.9,19.9,35.45,29.27,39.73,"[0, 2, 0, 0]","[40, 59, 59, 40, 40, 40, 40, 59, 40, 59, 59, 57, 57, 40, 57, 59, 40, 57, 59, 57, 40, 40, 40, 59, 40, 59, 57, 57, 57, 40, 40, 40, 40, 59, 59, 57, 59, 59, 40, 40, 40, 40, 59, 57, 59, 59, 40, 40, 40, 59, 57, 57, 59, 59, 40, 40, 40, 59, 57, 57, 57, 59, 40, 40]",2,1.6,3,2.8248275862068963,0.22168529642427084,0.5150018781117534,0.40724358167306,PL_Mid_AD_Low_zen
890,-82.2,21.8,40.8,31.49,26.57,43.55,"[8, 3, 8, 8]","[39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 33, 33, 33, 39, 39, 33, 35, 33, 39, 33, 33, 39, 39, 33, 37, 33, 33, 39, 39, 39, 39, 33, 37, 35, 33, 37, 33, 35, 33, 39, 37, 37, 35, 37, 39, 39, 33, 35, 37, 39, 39, 35, 33, 37]",2,1.6,4,2.708994708994709,3.5517709795607804,3.1536366226260655,4.716417370287256,PL_Mid_AD_Low_zen
298,-84.9,19.1,38.1,27.18,23.94,31.81,"[12, 4, 12, 4]","[48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 54, 52, 48, 48, 48, 54, 48, 54, 48, 54, 54, 50, 48, 54, 48, 54, 54, 54, 54, 48, 48, 52, 48, 54, 52, 54, 52, 48, 48, 52, 54, 54, 50, 48, 48, 50, 48, 54, 52, 48, 54, 50, 54, 48, 48, 52, 52, 50]",2,2.0,4,2.6701434159061277,6.220695011589661,3.4335057031249203,6.012030329194437,PL_Mid_AD_Low_zen
622,-99.7,4.3,23.3,23.57,21.28,23.62,"[8, 6, 8, 8]","[45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 41, 41, 45, 45, 45, 41, 41, 41, 41, 41, 45, 45, 45, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 45, 45, 45, 45, 41, 45, 47, 41, 47, 47, 45, 45, 41, 47, 47, 47, 41, 47, 47, 47, 45]",2,1.6,3,2.5696361355081554,1.1214664514409927,1.7583519205660056,1.8910499031875785,PL_Mid_AD_Low_zen
621,-94.2,9.8,28.8,34.45,28.36,29.63,"[7, 5, 12, 5]","[54, 54, 54, 22, 22, 22, 22, 22, 54, 54, 54, 22, 22, 22, 22, 22, 54, 22, 54, 22, 22, 22, 22, 22, 54, 54, 54, 22, 22, 54, 22, 54, 22, 22, 22, 22, 54, 54, 54, 38, 54, 38, 22, 38, 22, 54, 54, 38, 54, 38, 22, 22, 54, 38, 54, 38, 54, 22, 54, 54, 54, 54, 38, 54]",3,2.6666666666666665,3,2.5098039215686274,0.29899289740110374,1.234387562050031,0.5811797752359747,PL_Mid_AD_Low_zen
458,-83.2,20.8,39.8,31.12,26.12,36.36,"[12, 7, 5, 12]","[55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 7, 7, 7, 7, 55, 55, 53, 55, 39, 55, 55, 39, 39, 55, 55, 53, 39, 7, 7, 53, 55, 39, 7, 39, 53, 7, 7, 39, 55, 7, 55, 55, 39, 53, 39, 7, 39, 39]",3,2.6666666666666665,4,2.5036674816625917,1.767622201512594,3.5238163161889964,3.159966446672454,PL_Mid_AD_Low_zen
855,-101.8,2.2,21.2,34.23,28.32,38.43,"[1, 10, 1, 1]","[32, 59, 59, 32, 32, 32, 59, 59, 32, 59, 32, 32, 32, 59, 59, 59, 32, 59, 32, 32, 32, 59, 59, 59, 32, 59, 32, 32, 32, 59, 59, 59, 59, 32, 59, 32, 32, 59, 59, 57, 32, 59, 57, 32, 59, 57, 59, 59, 32, 32, 32, 59, 32, 57, 57, 57, 32, 32, 59, 57, 32, 32, 57, 32]",2,1.6,3,2.497560975609756,0.5058505056030458,1.034569102625273,0.9088751625601947,PL_Mid_AD_Low_zen
662,-101.5,2.5,21.5,27.78,23.09,27.72,"[11, 5, 5, 5]","[38, 38, 38, 22, 22, 22, 22, 38, 38, 38, 38, 22, 22, 22, 22, 22, 38, 38, 38, 55, 55, 55, 55, 55, 55, 55, 55, 55, 38, 55, 55, 55, 55, 38, 38, 38, 38, 38, 55, 55, 55, 55, 55, 55, 53, 38, 53, 53, 38, 53, 38, 53, 38, 53, 53, 38, 53, 53, 38, 53, 38, 53, 53, 38]",2,1.6,4,3.5249569707401034,0.8018770103167053,1.7253446275913042,1.4543538234956317,PL_Mid_AD_Low_zen
137,-85.9,18.1,37.1,27.0,23.72,34.38,"[15, 4, 15, 4]","[56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 48, 56, 56, 56, 56, 56, 56, 56, 0, 56, 0, 0, 48, 56, 62, 48, 56, 0, 48, 62, 48, 56, 0, 56, 62, 0, 0, 56, 56, 56, 62, 0, 48, 62, 0, 62, 48, 56, 62, 0, 56, 56, 48, 48]",2,2.0,4,2.4468339307048983,2.1941347134261875,3.225126446870231,3.6282275998605553,PL_Mid_AD_Low_zen
