ue_idx,pl,snr_ul,snr_dl,c_ae,c_ue,c_bs,ue_beams,bs_beams,unique_ue_beams,n_eff_ue_beams,unique_bs_beams,n_eff_bs_beams,rho_azi,rho_zen,rho_2d_euc,case
377,-81.7,22.3,41.3,28.26,24.31,32.43,"[11, 3, 11, 3]","[62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 56, 62, 62, 56, 60, 62, 58, 62, 56, 56, 56, 58, 56, 58, 56, 62, 60, 58, 56, 62, 62, 58, 58, 62, 58, 62, 60, 56, 56, 56, 62, 56, 62, 60, 56, 58, 56, 56, 58, 62, 58, 62]",2,2.0,4,2.7197875166002654,9.447238396679364,3.7277169809156865,6.935075810921634,PL_Mid_AD_Mid_zen
417,-82.3,21.7,40.7,31.19,26.31,36.52,"[15, 7, 15, 15]","[62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 56, 56, 62, 62, 60, 58, 58, 62, 62, 62, 60, 62, 56, 62, 56, 58, 62, 58, 62, 60, 62, 62, 62, 56, 56, 62, 56, 56, 62, 56, 56, 60, 58, 58, 56, 58, 58, 60, 60, 56, 56, 56, 58, 58, 62]",2,1.6,4,2.752688172043011,2.0463363161354393,4.182613976140007,3.676271737492101,PL_Mid_AD_Mid_zen
217,-83.5,20.5,39.5,26.49,24.22,31.41,"[15, 4, 15, 4]","[48, 48, 48, 48, 48, 0, 48, 0, 0, 48, 48, 48, 48, 48, 0, 48, 0, 0, 48, 0, 48, 54, 48, 0, 48, 0, 0, 54, 0, 58, 0, 48, 58, 58, 48, 48, 48, 48, 48, 0, 0, 0, 0, 54, 0, 0, 58, 58, 0, 0, 0, 48, 48, 48, 0, 48, 48, 54, 0, 54, 48, 0, 58, 48]",2,2.0,4,2.7713125845737485,2.1001845974297195,5.275570602772875,3.902501559409771,PL_Mid_AD_Mid_zen
930,-85.3,18.7,37.7,27.95,24.44,37.04,"[11, 11, 11, 11]","[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 46, 46, 30, 30, 30, 30, 32, 30, 30, 32, 32, 32, 32, 32, 32, 46, 14, 30, 46, 14, 32, 46, 30, 30, 46, 32, 32, 46, 32, 30, 30, 46, 30, 32, 32, 46, 46, 14, 32]",1,1.0,4,2.4468339307048983,3.0527588957763836,3.5799906190984547,4.6457737607419585,PL_Mid_AD_Mid_zen
96,-82.7,21.3,40.3,32.48,29.0,44.74,"[0, 0, 0, 11]","[56, 56, 56, 56, 56, 56, 7, 56, 48, 48, 56, 56, 56, 56, 56, 56, 56, 48, 48, 56, 56, 56, 56, 48, 56, 56, 56, 56, 56, 48, 56, 48, 54, 56, 7, 56, 56, 56, 56, 48, 54, 56, 7, 56, 56, 56, 7, 48, 56, 48, 7, 56, 7, 56, 7, 56, 7, 7, 56, 54, 54, 48, 54, 7]",2,1.6,4,2.4236686390532545,0.6654770216729895,4.945712858888417,1.3190664902911435,PL_Mid_AD_Mid_zen
337,-82.7,21.3,40.3,29.47,24.68,38.37,"[11, 3, 11, 3]","[63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 6, 7, 63, 63, 63, 63, 7, 55, 7, 63, 63, 55, 7, 55, 63, 63, 55, 6, 63, 63, 63, 7, 7, 7, 55, 63, 55, 55, 7, 63, 63, 63, 6, 7, 63, 55, 6, 63, 6, 7, 55, 55, 63, 7]",2,2.0,4,2.4236686390532545,5.972880580433333,4.460993105937916,7.148298289168605,PL_Mid_AD_Mid_zen
853,-80.5,23.5,42.5,41.36,36.9,45.8,"[11, 0, 11, 11]","[30, 30, 30, 30, 30, 30, 30, 30, 30, 46, 30, 46, 30, 30, 30, 30, 30, 14, 46, 46, 30, 30, 46, 46, 30, 46, 14, 46, 62, 30, 30, 30, 30, 30, 62, 14, 46, 30, 46, 62, 30, 30, 46, 14, 46, 14, 46, 46, 62, 30, 46, 46, 46, 62, 62, 46, 46, 46, 30, 62, 46, 14, 46, 14]",2,1.6,4,2.998535871156662,5.809953090324122,4.383813536232173,6.998836837820766,PL_Mid_AD_Mid_zen
970,-88.7,15.3,34.3,23.88,20.66,32.45,"[12, 12, 12, 12]","[39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 38, 38, 39, 39, 39, 38, 38, 38, 38, 39, 39, 38, 39, 38, 38, 39, 39, 37, 39, 39, 38, 38, 39, 39, 32, 32, 37, 39, 38, 32, 39, 32, 32, 38, 38, 39, 39, 39, 38, 37, 38, 32, 38, 39, 39, 38]",1,1.0,4,2.3567318757192175,3.3994757631966626,5.338895801089517,5.735041903780402,PL_Mid_AD_Mid_zen
175,-82.4,21.6,40.6,33.61,29.2,44.06,"[0, 0, 0, 8]","[56, 56, 56, 56, 56, 7, 56, 56, 56, 7, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 7, 56, 56, 56, 62, 56, 7, 7, 7, 54, 56, 56, 56, 62, 7, 7, 56, 56, 54, 7, 56, 56, 54, 62, 54, 7, 62, 56, 62, 54, 54, 56, 7, 7, 56, 56, 62, 62]",2,1.6,4,2.3405714285714287,0.5063057777407152,4.541677255959343,1.0063773515421968,PL_Mid_AD_Mid_zen
889,-81.3,22.7,41.7,35.43,29.6,46.13,"[11, 11, 0, 11]","[38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 24, 38, 38, 38, 38, 38, 38, 38, 38, 34, 38, 24, 40, 38, 38, 38, 34, 40, 34, 38, 40, 38, 38, 34, 40, 34, 24, 24, 34, 38, 40, 38, 34, 34, 34, 38, 38, 34, 38, 24, 34, 38, 40, 24, 34, 38, 40]",2,1.6,4,2.3405714285714287,3.161216887678613,3.547463097319903,4.720211874352365,PL_Mid_AD_Mid_zen
968,-85.2,18.8,37.8,29.59,27.08,40.01,"[8, 8, 8, 8]","[38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 32, 38, 38, 38, 38, 34, 32, 32, 32, 32, 38, 38, 38, 38, 32, 34, 32, 38, 38, 38, 32, 34, 36, 32, 32, 38, 32, 32, 36, 32, 34, 32, 36, 36, 38, 32, 38, 38, 34, 34, 32, 32, 36, 36, 34, 38, 34, 34, 36, 38, 38, 34]",1,1.0,4,3.0612855007473843,4.449707572393665,5.376045654488574,6.855704138399247,PL_Mid_AD_Mid_zen
538,-81.5,22.5,41.5,40.23,29.22,35.1,"[11, 5, 5, 5]","[55, 55, 55, 55, 49, 55, 49, 55, 49, 55, 55, 55, 55, 49, 49, 49, 49, 49, 55, 55, 49, 49, 55, 49, 49, 49, 55, 55, 7, 55, 55, 55, 55, 55, 53, 7, 55, 7, 7, 53, 55, 53, 55, 49, 7, 55, 7, 53, 53, 53, 49, 53, 55, 55, 7, 49, 55, 49, 53, 49, 55, 55, 53, 49]",2,1.6,4,3.075075075075075,3.174804818602348,5.04608227558985,5.374380297143323,PL_Mid_AD_Mid_zen
177,-83.5,20.5,39.5,27.97,24.54,36.92,"[0, 8, 0, 8]","[55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 56, 55, 55, 56, 55, 56, 55, 55, 56, 55, 55, 55, 56, 7, 55, 55, 55, 55, 56, 56, 56, 62, 7, 7, 55, 55, 55, 56, 55, 55, 62, 62, 62, 55, 55, 56, 56, 7, 55, 55, 55, 55, 55, 56, 55, 62, 7, 55, 56, 56, 62]",2,2.0,4,2.303712035995501,1.9988364099101559,4.957266758032256,3.7076235116565086,PL_Mid_AD_Mid_zen
972,-93.0,11.0,30.0,31.12,25.36,35.89,"[8, 0, 8, 8]","[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 31, 31, 31, 31, 30, 31, 31, 31, 31, 31, 30, 30, 30, 31, 31, 31, 31, 31, 31, 30, 31, 31, 31, 31, 31, 31, 31, 31, 30, 31, 31, 31, 30, 30, 47, 29, 47, 31, 30, 31, 30, 31, 31, 31, 30, 31, 30, 30, 31, 30, 30, 29, 29]",2,1.6,4,2.303712035995501,2.496115388065691,3.9796822897426414,4.2291881889346135,PL_Mid_AD_Mid_zen
216,-82.0,22.0,41.0,28.17,24.2,40.01,"[12, 4, 12, 12]","[56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 62, 56, 48, 56, 56, 56, 56, 48, 48, 56, 56, 62, 56, 48, 58, 56, 56, 56, 56, 56, 48, 62, 56, 48, 56, 56, 48, 48, 48, 56, 62, 58, 48, 58, 58, 62, 56, 58, 56, 56, 56, 58, 62, 62, 56, 58]",2,1.6,4,2.278086763070078,1.3251314002258872,3.937533984415705,2.5118344326149966,PL_Mid_AD_Mid_zen
