ue_idx,pl,snr_ul,snr_dl,c_ae,c_ue,c_bs,ue_beams,bs_beams,unique_ue_beams,n_eff_ue_beams,unique_bs_beams,n_eff_bs_beams,rho_azi,rho_zen,rho_2d_euc
12,-78.6,25.4,44.4,38.32,33.23,44.96,"[12, 4, 12, 4]","[63, 57, 63, 57, 63, 63, 63, 63, 63, 63, 15, 57, 57, 63, 63, 63, 63, 57, 15, 40, 57, 57, 63, 63, 57, 57, 15, 57, 63, 15, 63, 57, 15, 63, 63, 63, 40, 63, 40, 40, 15, 63, 15, 57, 15, 57, 63, 57, 63, 57, 57, 40, 15, 40, 63, 63, 57, 63, 40, 40, 15, 57, 63, 63]",2,2.0,4,3.220125786163522,1.7038223325193025,11.357344317483841,3.3699340802487154
13,-80.6,23.4,42.4,35.6,29.72,42.09,"[3, 5, 11, 5]","[63, 57, 63, 63, 57, 57, 57, 57, 63, 57, 63, 63, 63, 63, 57, 57, 63, 57, 63, 63, 63, 63, 63, 57, 63, 57, 63, 63, 63, 63, 63, 57, 63, 63, 63, 63, 63, 57, 57, 63, 57, 55, 63, 57, 55, 63, 63, 57, 55, 57, 63, 57, 55, 63, 63, 63, 6, 55, 63, 57, 55, 55, 6, 63]",3,2.6666666666666665,4,2.441001191895113,1.299488425700374,9.850224141396296,2.576651368845373
14,-82.7,21.3,40.3,34.96,29.79,42.4,"[15, 4, 15, 15]","[63, 63, 57, 63, 63, 63, 63, 63, 57, 57, 57, 63, 63, 63, 63, 63, 63, 57, 57, 63, 63, 63, 63, 57, 63, 59, 57, 59, 63, 63, 63, 63, 63, 57, 59, 59, 57, 61, 57, 63, 61, 63, 61, 57, 63, 61, 57, 63, 63, 63, 57, 57, 59, 61, 61, 63, 57, 59, 63, 57, 59, 63, 59, 63]",2,1.6,4,2.7713125845737485,1.2024882679318907,8.952555538875547,2.3835712953746206
15,-84.8,19.2,38.2,25.38,21.4,36.6,"[3, 8, 3, 3]","[63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 53, 63, 63, 63, 63, 63, 53, 59, 53, 63, 57, 57, 63, 63, 63, 63, 63, 53, 53, 57, 57, 57, 63, 59, 63, 59, 63, 53, 57, 63, 59, 57, 59, 53, 63, 57, 53, 57]",2,1.6,4,2.1178903826266806,1.497958762561785,5.354940245697038,2.8851599722130774
16,-83.9,20.1,39.1,27.12,24.19,36.98,"[15, 7, 15, 15]","[48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 54, 0, 48, 0, 48, 54, 48, 39, 0, 0, 39, 0, 48, 0, 48, 0, 0, 48, 54, 39, 48, 48, 0, 39, 54, 54, 0, 39, 39, 48, 48, 39, 48]",2,1.6,4,2.113519091847265,2.919776812213074,6.383723655712168,5.310452055754165
17,-85.8,18.2,37.2,42.12,38.57,53.29,"[12, 5, 12, 5]","[56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 62, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 47, 56, 56, 62, 56]",2,2.0,3,1.099302200751476,0.9970748434250782,4.918397890181615,1.9543943346977586
18,-90.4,13.6,32.6,45.97,39.55,55.88,"[3, 8, 1, 1]","[48, 48, 16, 48, 48, 48, 48, 16, 48, 48, 48, 48, 48, 16, 16, 16, 48, 48, 48, 48, 48, 48, 16, 16, 48, 48, 48, 48, 48, 48, 48, 16, 48, 48, 48, 48, 48, 48, 48, 16, 48, 48, 48, 48, 48, 48, 16, 16, 48, 48, 48, 48, 48, 48, 16, 16, 48, 48, 48, 16, 48, 48, 16, 16]",3,2.6666666666666665,2,1.6,1.490366898599147,8.336086697006017,2.9342080584061767
26,-154.8,-50.8,-31.8,0.16,0.16,1.61,"[9, 9, 9, 9]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]",1,1.0,1,1.0,0.41970145633870515,2.4282429180364637,0.827138768025948
27,-154.9,-50.9,-31.9,0.16,0.08,1.43,"[8, 8, 8, 8]","[39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39]",1,1.0,1,1.0,0.427727342128363,2.960364168428787,0.8466629353379924
28,-154.4,-50.4,-31.4,0.18,0.1,1.51,"[10, 10, 10, 10]","[39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39]",1,1.0,1,1.0,0.15412940667938382,1.4566832987454406,0.3065476233633393
